id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig,decade
3FtYbEfBqAlGO46NUDQSAt,"Electric Feel","Oracular Spectacular",0.071400,0.763000,0.807000,0.280000,0.348000,-3.714000,0.035000,0.559000,229640,1,1,103.038002,3,0
5dKBaysNJtfpyNTRa5lqDb,"A-Punk","Vampire Weekend",0.010200,0.551000,0.821000,0.043800,0.153000,-4.489000,0.053900,0.842000,137760,2,1,174.923004,4,0
0LAfANg75hYiV1IAEP3vY6,"Take Your Mama","Scissor Sisters",0.220000,0.762000,0.954000,0.000018,0.061200,-4.542000,0.121000,0.933000,271907,8,1,153.960007,4,0
73M2Vb5MfZh8iGKudkMtlw,"Always Like This","I Had The Blues But I Shook Them Loose",0.444000,0.579000,0.605000,0.000645,0.110000,-6.686000,0.032800,0.740000,245640,1,1,121.792999,4,0
4Iyo50UoYhuuYORMLrGDci,"Weird Fishes/ Arpeggi","In Rainbows",0.774000,0.538000,0.610000,0.749000,0.090900,-8.027000,0.039200,0.199000,318187,11,0,152.998993,4,0
3AA8xNhDC0MpqwkGX3EP5V,"If I ever feel better","United",0.049200,0.755000,0.553000,0.006070,0.064600,-9.449000,0.107000,0.836000,266600,6,0,119.699997,4,0
4jacsL77ZYnpInmTtUBaJW,"Move Your Feet","d-d-don't don't stop the beat (Explicit Content U.S. Version)",0.050700,0.755000,0.895000,0.073700,0.222000,-2.619000,0.088300,0.844000,181907,9,1,118.871002,4,0
2f14Vwn28w1soYnolluueL,"Young Folks","Electronic Beats Collectables Volume 1 Digital",0.012800,0.672000,0.857000,0.000900,0.160000,-4.915000,0.038000,0.685000,278720,0,1,138.153000,4,0
5oUV6yWdDM0R9Q2CizRhIt,"New Slang","Oh, Inverted World",0.605000,0.669000,0.389000,0.160000,0.090500,-11.547000,0.030600,0.649000,231173,0,1,130.014999,4,0
3Sa3BLllDDw05udxXlba8p,"Burning","Dreams",0.671000,0.721000,0.758000,0.891000,0.133000,-7.536000,0.037200,0.864000,191173,11,0,150.824997,4,0
0SbMdEc3vUpYyG7Od1Outj,"Walking On A Dream","Walking On A Dream",0.246000,0.866000,0.692000,0.000005,0.087800,-5.785000,0.045800,0.737000,196347,5,0,126.955002,4,0
5sS4g0adkAUXvLJHQ1i2kj,"Little L","A Funk Odyssey",0.168000,0.878000,0.724000,0.011600,0.133000,-5.373000,0.129000,0.904000,295400,10,0,121.905998,4,0
7xj3v3gPWWytfwqHZRtdMj,"Mykonos","Mykonos",0.397000,0.298000,0.448000,0.001040,0.128000,-9.291000,0.030300,0.330000,275307,8,0,82.967003,4,0
51UtgWS4z1eMPuLQOzPtNH,"Amber","Greatest Hits '93 - '03",0.119000,0.659000,0.727000,0.004270,0.100000,-8.638000,0.045500,0.748000,211080,4,0,166.162994,4,0
3IXRdLsQib8m0hBbQpe7T8,"Hang Me Up To Dry","Robbers & Cowards",0.024100,0.509000,0.916000,0.000402,0.360000,-2.793000,0.032400,0.672000,218787,2,1,92.431999,4,0
1NeLwFETswx8Fzxl2AFl91,"Something About Us","Discovery",0.440000,0.875000,0.475000,0.720000,0.046000,-12.673000,0.098600,0.384000,232667,9,0,99.958000,4,0
33yAEqzKXexYM3WlOYtTfQ,"D.A.N.C.E","Justice",0.034000,0.613000,0.962000,0.000000,0.824000,-5.070000,0.278000,0.496000,242267,6,0,113.014999,4,0
662u318704xl9XpTDRpcPy,"Mushaboom","Let It Die",0.268000,0.729000,0.531000,0.001650,0.067100,-8.707000,0.032200,0.830000,224507,8,1,88.752998,4,0
4XTTwW06rMgud7yS1nySZf,"Animal","Miike Snow",0.011700,0.763000,0.721000,0.000008,0.075200,-6.767000,0.098600,0.657000,263880,1,0,118.049004,4,0
7kzKAuUzOITUauHAhoMoxA,"Last Nite","Is This It",0.028500,0.624000,0.910000,0.000198,0.078900,-5.703000,0.029700,0.767000,193051,0,1,104.042000,4,0
4hGOhC87bn7JBdYykOJJvJ,"I'd Rather Dance With You","Riot On An Empty Street",0.329000,0.843000,0.833000,0.056700,0.126000,-6.156000,0.034100,0.972000,209027,0,0,141.990005,4,0
2nGFzvICaeEWjIrBrL2RAx,"Put Your Records On","Corinne Bailey Rae",0.167000,0.739000,0.511000,0.000001,0.133000,-7.844000,0.036200,0.542000,215360,9,1,96.038002,4,0
49CP2usyaN98EdtrOWXnal,"1234","The Reminder",0.268000,0.704000,0.482000,0.000005,0.085200,-7.365000,0.056900,0.609000,183623,2,1,109.914001,4,0
6IIjmqaDdO6vdEBasXsCve,"Sweet Disposition","Sweet Disposition",0.078300,0.531000,0.805000,0.092600,0.116000,-7.127000,0.043300,0.349000,234680,2,1,129.106995,4,0
10ViidwjGLCfVtGPfdcszR,"Home","Up From Below",0.320000,0.545000,0.590000,0.000389,0.124000,-6.693000,0.032700,0.127000,306320,2,1,111.738998,4,0
7kcyCnpHm1BZGB9Wc7MCZH,"Golden Skans","Myths Of The Near Future",0.000418,0.463000,0.836000,0.000007,0.250000,-2.776000,0.038100,0.713000,165120,2,0,141.955002,4,0
756CJtQRFSxEx9jV4P9hpA,"I Believe In A Thing Called Love","Permission To Land",0.053800,0.442000,0.846000,0.000005,0.282000,-5.214000,0.076400,0.622000,217653,4,1,128.235001,4,0
2iXdwVdzA0KrI2Q0iZNJbX,"Better Together","In Between Dreams",0.298000,0.871000,0.346000,0.000009,0.108000,-9.481000,0.052200,0.659000,207680,5,1,110.049004,4,0
5imShWWzwqfAJ9gXFpGAQh,"Waiting On the World to Change","Continuum",0.159000,0.577000,0.756000,0.000232,0.249000,-5.820000,0.115000,0.663000,201173,2,1,176.750000,4,0
6ebxt3Iylxe0GcEuUGlIvb,"Dreaming of You","The Coral",0.374000,0.441000,0.684000,0.000848,0.108000,-7.495000,0.031000,0.971000,141000,9,0,199.001007,4,0
20I8RduZC2PWMWTDCZuuAN,"Take Me Out","Franz Ferdinand",0.000409,0.277000,0.663000,0.000510,0.136000,-8.821000,0.037700,0.527000,237027,4,0,104.560997,4,0
3kdyKV4Oo0Ogkx2tDJ8oT0,"Heartbeats","Deep Cuts",0.016800,0.647000,0.747000,0.000054,0.119000,-4.861000,0.031500,0.412000,231800,8,1,87.989998,4,0
7BHPGtpuuWWsvE7cCaMuEU,"Naive","Inside In / Inside Out",0.075900,0.391000,0.808000,0.000000,0.149000,-6.209000,0.089200,0.737000,203507,8,0,100.304001,4,0
1J3w85cS3FEmoSKRu2dQJ8,"Sea of Love","The Covers Record",0.940000,0.561000,0.085900,0.000000,0.160000,-11.478000,0.051100,0.117000,139467,6,0,78.372002,4,0
04a7TQAQPkXBosRi7IovlM,"New Shoes","These Streets (Deluxe Version)",0.470000,0.748000,0.735000,0.000011,0.085100,-8.692000,0.090300,0.854000,203653,8,1,150.039993,4,0
2SDx0PooHZI1SQKR0y44bs,"Grace Kelly","Life In Cartoon Motion",0.024200,0.675000,0.828000,0.010200,0.364000,-5.799000,0.045400,0.669000,187733,0,1,122.228996,4,0
1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular",0.000760,0.451000,0.931000,0.004900,0.361000,-3.871000,0.071900,0.172000,302840,9,1,122.960999,4,0
22UDw8rSfLbUsaAGTXQ4Z8,"American Boy","Shine",0.171000,0.727000,0.729000,0.000000,0.070000,-2.990000,0.326000,0.512000,284733,0,1,117.931999,4,0
6yLX8QnxlnEqZfs3YKCfjF,"Tears Dry On Their Own","Back To Black",0.491000,0.643000,0.871000,0.000000,0.290000,-2.734000,0.118000,0.452000,185187,1,0,121.569000,4,0
172u95XX2JxIfBZi1v0vKN,"Banquet","Silent Alarm",0.000130,0.576000,0.935000,0.017000,0.082800,-4.911000,0.051000,0.875000,201360,10,0,150.227005,4,0
0d28khcov6AiegSCpG5TuT,"Feel Good Inc","Demon Days",0.008360,0.818000,0.705000,0.002330,0.613000,-6.679000,0.177000,0.772000,222640,6,1,138.559006,4,0
1qEHgdFqUxFebMPk8s2HLY,"I Don't Feel Like Dancin' - Radio Edit","I Don't Feel Like Dancin'",0.015600,0.711000,0.924000,0.000000,0.114000,-3.398000,0.028200,0.912000,248640,7,1,108.032997,4,0
2M3zJ1qV61X149Oobd5di1,"Fidelity","Begin To Hope (U.S. Version)",0.520000,0.923000,0.518000,0.000142,0.104000,-6.008000,0.049200,0.682000,226680,5,1,93.023003,4,0
2iFSzunXMDRIO9Sx78Cykv,"Silvia","Miike Snow",0.009830,0.502000,0.785000,0.000729,0.091800,-5.573000,0.039700,0.276000,385360,7,0,119.998001,4,0
0Zw4llKeB35SIKASy1aLtV,"Eple","Melody AM",0.007460,0.680000,0.849000,0.069400,0.108000,-5.295000,0.044400,0.806000,218320,6,1,106.486000,4,0
6y20BV5L33R8YXM0YuI38N,"No One Knows","Songs For The Deaf",0.036800,0.509000,0.584000,0.000100,0.384000,-4.907000,0.057000,0.685000,278747,0,1,170.410995,4,0
3gNGi2iUGHXGpBQHce6Nua,"When You Were Young","Sam's Town",0.000152,0.467000,0.988000,0.048400,0.280000,-3.313000,0.112000,0.321000,220427,11,1,130.434998,4,0
62iqSNq1pRhVd0MQir3idT,"Dance, Dance, Dance","Youth Novels",0.581000,0.752000,0.681000,0.005560,0.147000,-7.348000,0.043000,0.729000,221253,7,1,122.331001,4,0
0UyQ9TuZ1lG6eJi4eRKDfO,"Good Luck (Feat Lisa Kekaula)","The Singles",0.088200,0.581000,0.937000,0.000000,0.328000,-4.140000,0.085400,0.603000,211507,5,1,153.957001,4,0
3sTc75CCyIw4FPs6cXkOe7,"Save Room","Once Again",0.045700,0.690000,0.572000,0.000000,0.096900,-6.131000,0.026400,0.375000,235667,7,1,111.918999,4,0
6ybViy2qrO9sIi41EgRJgx,"Don't Know Why","Come Away With Me",0.883000,0.732000,0.198000,0.000011,0.065900,-11.775000,0.028000,0.618000,186147,5,1,88.174004,4,0
7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches",0.145000,0.733000,0.710000,0.115000,0.095600,-5.849000,0.029200,0.965000,239600,5,0,127.974998,4,0
0eGsygTp906u18L0Oimnem,"Mr. Brightside","Hot Fuss",0.001130,0.351000,0.928000,0.000000,0.098800,-3.710000,0.075900,0.239000,222076,1,1,148.029999,4,0
79z9QkhHePTFsSeVw9uyj0,"Smile","Alright, Still [Deluxe]",0.001430,0.632000,0.639000,0.000000,0.221000,-5.938000,0.025900,0.733000,196893,5,1,95.505997,4,0
38peLHRTxGZAd5TpEO3gB9,"Don't Look Back Into The Sun","Don't Look Back Into The Sun",0.006540,0.218000,0.772000,0.003300,0.295000,-5.560000,0.110000,0.692000,179960,7,1,177.623001,4,0
65hYDDFvFzyS3AIJ3qIKPx,"When The Sun Goes Down","Whatever People Say I Am, That's What I'm Not",0.034600,0.349000,0.870000,0.000000,0.129000,-4.746000,0.183000,0.417000,200013,11,0,169.649002,4,0
5W3cjX2J3tjhG8zb6u0qHn,"Harder Better Faster Stronger","Discovery",0.042700,0.817000,0.716000,0.002630,0.358000,-8.898000,0.144000,0.692000,224693,6,0,123.474998,4,0
6rW8q1p2GCjGMRAlnxBeo7,"Hang With Me","Body Talk",0.009730,0.654000,0.818000,0.001220,0.107000,-6.152000,0.035000,0.245000,259507,7,1,114.970001,4,0
1vxw6aYJls2oq3gW0DujAo,"Crazy","St. Elsewhere",0.050500,0.855000,0.587000,0.007140,0.105000,-4.589000,0.033600,0.640000,177466,8,1,111.970001,4,0
5WQ1hIc5d2EVbRQ8qsj8Uh,"Hey Ya! - Radio Mix / Club Mix","Speakerboxxx/The Love Below",0.058800,0.719000,0.967000,0.000249,0.206000,-2.435000,0.055200,0.964000,235213,0,1,79.504997,4,0
2SMn57cBVxoD4TArscpovk,"Islands","xx",0.749000,0.863000,0.474000,0.183000,0.147000,-11.103000,0.071200,0.668000,160720,4,1,124.038002,4,0
1RKUoGiLEbcXN4GY4spQDx,"Clint Eastwood","Gorillaz",0.024900,0.663000,0.694000,0.000000,0.069800,-8.627000,0.172000,0.524000,340920,10,0,167.964005,4,0
2Za2mUwmQoSxWPscaY2vxl,"Murder On The Dancefloor","Read My Lips",0.003120,0.734000,0.848000,0.000012,0.313000,-5.285000,0.030900,0.863000,230013,1,0,117.309998,4,0
6PZDPg3dZgJkNL6nVMUB4b,"Little Bit","Youth Novels",0.158000,0.819000,0.736000,0.001610,0.109000,-6.504000,0.041600,0.701000,273427,7,1,120.318001,4,0
7g13jf3zqlP5S68Voo5v9m,"Dancing On My Own - Radio Edit","Body Talk",0.002020,0.573000,0.926000,0.011700,0.127000,-6.045000,0.034200,0.219000,278080,6,1,117.047997,4,0
49X0LAl6faAusYq02PRAY6,"Lady - Hear Me Tonight","Modjo (Remastered)",0.007930,0.720000,0.808000,0.029300,0.063400,-5.627000,0.037900,0.869000,307154,6,1,126.041000,4,0
11X4Gw3T4hoktVruLgTnm1,"Heartbeats","Veneer",0.974000,0.552000,0.150000,0.731000,0.069800,-16.746000,0.034700,0.316000,160240,3,1,87.485001,4,0
4fIWvT19w9PR0VVBuPYpWA,"Haven't Met You Yet","Crazy Love",0.152000,0.615000,0.733000,0.000000,0.109000,-4.808000,0.033500,0.796000,244587,8,1,122.580002,4,0
2rjOaGr1mcTYePllS8crRf,"Ruby","Yours Truly, Angry Mob",0.006340,0.312000,0.941000,0.000003,0.076000,-2.826000,0.069600,0.424000,204200,5,0,186.813004,4,0
7wTmnOSpVJcIzj5FIz2I04,"Upside Down","Do You Want The Truth Or Something Beautiful?",0.045200,0.617000,0.844000,0.000189,0.073700,-4.384000,0.076400,0.734000,189187,9,0,175.979996,4,0
5AKIqJbeNNVu2j2GGJ2jbs,"Underneath It All","Rock Steady [UK Version (Ltd.)]",0.241000,0.730000,0.736000,0.000001,0.391000,-4.855000,0.071400,0.859000,302720,4,1,138.216003,4,0
4gxKAFgVK5Z6J7HVgC9G0s,"All For You","Best Of Number Ones",0.011800,0.776000,0.880000,0.029500,0.301000,-4.670000,0.121000,0.725000,272387,2,1,113.502998,3,0
10Nmj3JCNoMeBQ87uw5j8k,"Dani California","Stadium Arcadium",0.017000,0.553000,0.865000,0.000010,0.267000,-4.751000,0.040900,0.735000,283000,9,0,96.161003,4,0
3kMrazSvILsgcwtidZd1Qd,"Bulletproof","La Roux",0.000813,0.691000,0.881000,0.000072,0.073600,-2.686000,0.052600,0.689000,205733,3,0,122.977997,4,0
497Fkp3gRiGrRMoqBTDudr,"California - Tchad Blake Mix","The Guest",0.038700,0.400000,0.805000,0.000054,0.109000,-7.305000,0.040700,0.324000,193933,4,1,158.459000,4,0
0fPf9CDFzVnHpcfld5XVtO,"You've Got The Love","You've Got The Love",0.004070,0.571000,0.708000,0.000000,0.125000,-4.740000,0.032900,0.398000,168667,6,1,109.899002,4,0
4E6cwWJWZw2zWf7VFbH7wf,"Love Song","Little Voice",0.020800,0.583000,0.786000,0.000000,0.188000,-3.142000,0.030100,0.573000,258827,2,0,123.052002,4,0
1lHXlGlve5Zx8tXLhyjDwM,"Makes Me Wonder","It Won't Be Soon Before Long.",0.005460,0.806000,0.867000,0.000201,0.056800,-2.425000,0.035700,0.895000,211080,4,0,113.992996,4,0
5zflsn7VI8qyvzrowMoTgF,"The First Of The Gang To Die","You Are The Quarry",0.011700,0.533000,0.915000,0.000000,0.122000,-4.241000,0.036500,0.813000,218587,11,1,134.296997,4,0
0Cvjlph1WGbwZY1PlMEtJY,"Come Away With Me","Come Away With Me",0.904000,0.363000,0.129000,0.000002,0.157000,-14.304000,0.032200,0.147000,198147,0,1,80.366997,3,0
