id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
1EzrEOXmMH3G43AXT1y7pA,"I'm Yours","We Sing. We Dance. We Steal Things.",0.595000,0.686000,0.457000,0.000000,0.105000,-8.322000,0.046800,0.718000,242187,11,1,150.953003,4
5vjLSffimiIP26QG5WcN2K,"Hold On","Hold On",0.497000,0.608000,0.445000,0.000000,0.080200,-9.551000,0.055000,0.189000,198853,2,1,119.886002,4
0IktbUcnAGrvD03AWnz3Q8,"Lucky","We Sing. We Dance. We Steal Things.",0.296000,0.623000,0.417000,0.000000,0.135000,-8.699000,0.035400,0.721000,191360,0,1,130.031998,4
7uuEfUMuPeQ7RlSWa0cES2,"Can’t Help Falling in Love","Crazy Rich Asians (Original Motion Picture Soundtrack)",0.905000,0.266000,0.059600,0.000071,0.132000,-18.514999,0.036300,0.143000,201933,0,1,181.740005,3
53QF56cjZA9RTuuMZDrSA6,"I Won't Give Up","Love Is A Four Letter Word (Deluxe)",0.694000,0.585000,0.303000,0.000000,0.115000,-10.058000,0.039800,0.142000,240166,4,1,136.703003,3
38YgZVHPWOWsKrsCXz6JyP,"Come On Get Higher","Some Mad Hope",0.241000,0.672000,0.623000,0.000000,0.084800,-5.699000,0.029700,0.617000,215173,9,1,92.017998,4
0rFOs9paloAvEtzwDX1Kmc,"Bubbly","Coco",0.594000,0.664000,0.491000,0.000000,0.110000,-6.544000,0.042000,0.240000,196280,9,1,127.970001,4
5JDcQAztvZTIkrWoZihgvC,"A Drop In The Ocean","The Bedroom Demos",0.785000,0.447000,0.393000,0.000000,0.280000,-8.650000,0.038000,0.564000,220239,5,1,73.139000,3
5K7AMlpc4796JRWXb26nCV,"I'll Be","Misguided Roses",0.386000,0.371000,0.609000,0.000000,0.104000,-5.524000,0.029500,0.426000,266533,11,1,136.526001,3
05pKAafT85jeeNhZ6kq7HT,"I Won't Give Up","I Won't Give Up",0.694000,0.585000,0.303000,0.000000,0.115000,-10.058000,0.039800,0.142000,240166,4,1,136.703003,3
6j7hih15xG2cdYwIJnQXsq,"Not Over You","Sweeter",0.255000,0.630000,0.894000,0.000000,0.181000,-4.592000,0.054400,0.364000,218520,10,1,142.050995,4
2skmOCFU64Bg7Ytkgwliwe,"All For You","...Somewhere More Familiar",0.039900,0.631000,0.756000,0.000044,0.092400,-6.378000,0.037600,0.671000,218707,8,1,137.039001,4
4E6cwWJWZw2zWf7VFbH7wf,"Love Song","Little Voice",0.020800,0.583000,0.786000,0.000000,0.188000,-3.142000,0.030100,0.573000,258827,2,0,123.052002,4
1fYouLdK3PkOMPnx4CPxTY,"Such A Simple Thing","Such A Simple Thing",0.860000,0.522000,0.256000,0.000825,0.142000,-11.216000,0.025800,0.130000,296387,10,1,76.349998,4
7fkXzzIVo98CgjOkpd9H0V,"Already Gone","Already Gone",0.956000,0.447000,0.206000,0.000005,0.107000,-11.750000,0.051900,0.327000,240791,3,1,66.734001,4
2WZyfujzMweFLnozyUJBkW,"Boston","All The Stars and Boulevards",0.182000,0.404000,0.571000,0.000021,0.129000,-5.069000,0.030300,0.290000,245933,0,1,147.009995,4
