id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
6X7PK2UQMUU36ux9pynSkV,"Drive (feat. Delilah Montagu) - Edit","Drive (feat. Delilah Montagu)",0.001240,0.719000,0.790000,0.044300,0.078600,-8.765000,0.038000,0.425000,191258,11,0,118.016998,4
6tfXgZjluaSYht2GwnEw21,"Wish You Were Here (feat. Msaki)","Wish You Were Here (feat. Msaki)",0.565000,0.634000,0.456000,0.002530,0.094200,-12.425000,0.042200,0.157000,272412,0,1,119.975998,4
2eAn1BVBJlFVKCdwPsrBpS,"Wish You Were Here (feat. Msaki) - Blond:ish Morning Remix Edit","Wish You Were Here (feat. Msaki) [Blond:ish Morning Remix Edit]",0.000993,0.670000,0.743000,0.580000,0.150000,-10.536000,0.036500,0.506000,252907,4,0,123.981003,4
1U05Y95SGVVugCljwJSbzr,"Wish You Were Here (feat. Msaki) - Bedouin Remix","Wish You Were Here (feat. Msaki) [Bedouin Remix]",0.000583,0.746000,0.646000,0.960000,0.123000,-12.056000,0.048900,0.121000,471320,9,0,123.001999,4
26OmTxWOe1ZP0Mo0AIIO7P,"Wish You Were Here (feat. Msaki) - Damian Lazarus Re-Shape","Wish You Were Here (feat. Msaki) [Damian Lazarus Re-Shape]",0.077100,0.590000,0.579000,0.866000,0.126000,-15.386000,0.039700,0.039900,724040,2,1,126.001999,4
1yo9sNyLhg8jvttFyWM4n5,"Wish You Were Here (feat. Msaki) - Guy Mantzur Remix","Wish You Were Here (feat. Msaki) [Guy Mantzur Remix]",0.000389,0.781000,0.833000,0.862000,0.041600,-8.353000,0.050300,0.601000,512947,9,0,120.001999,4
2vaVwhktMuNE2jcM2j1RxJ,"Your Eyes","Your Eyes",0.023100,0.589000,0.531000,0.000005,0.120000,-9.225000,0.037200,0.284000,250175,5,0,101.986000,4
2LPFJwyO8s8FvwnNXKac54,"For Eternity - Love over Entropy Remix","For Eternity",0.016000,0.710000,0.715000,0.844000,0.101000,-12.427000,0.044900,0.223000,427019,4,0,115.995003,4
68njR0pHe0o8fXTFDUCqbM,"King","Strings And Bling",0.073200,0.847000,0.655000,0.000001,0.295000,-4.591000,0.134000,0.398000,188648,8,1,125.030998,4
7e0JYBx8mE2DgPqSIioIZ2,"Golddust - Original Mix","Kryptonite",0.260000,0.512000,0.931000,0.000000,0.399000,-1.162000,0.154000,0.237000,191560,0,1,176.964996,4
0cI6D4xalZBLOMRs4Huuag,"Omunye","Gqom Is the Future",0.006440,0.939000,0.873000,0.170000,0.089200,-5.264000,0.060500,0.614000,320000,11,0,126.042000,4
33dI106R5aisHtTUVpwGQi,"Drive (feat. Delilah Montagu)","Drive (feat. Delilah Montagu)",0.000311,0.718000,0.727000,0.339000,0.096200,-9.459000,0.040300,0.518000,283621,11,0,118.038002,4
0e1NUsafmXRpVpSKf7A6My,"Drive (feat. Delilah Montagu) - Solardo Remix","Drive (feat. Delilah Montagu) [Remixes]",0.000409,0.650000,0.786000,0.002990,0.127000,-7.620000,0.037800,0.496000,228960,4,1,125.049004,4
6kvRFdDdFpJyBbUnudpsJK,"Drive (feat. Delilah Montagu) - Tom Staar Remix","Drive (feat. Delilah Montagu) [Remixes]",0.002140,0.670000,0.987000,0.207000,0.110000,-3.986000,0.051800,0.469000,213326,6,0,126.008003,4
6T6prTkN0PgnGPdW7lZ7Jv,"Aldebaran - Original","Inevitable Ending",0.045500,0.801000,0.630000,0.867000,0.098000,-9.789000,0.042000,0.231000,416189,2,1,116.007004,4
1SDg5mXE9kHFR4x5dgcRkS,"Nawe","Nawe",0.243000,0.696000,0.716000,0.000469,0.111000,-8.576000,0.044000,0.395000,264648,4,0,120.039001,4
5LLwMjXNTEzdkwKpm2JzVh,"Last Night A DJ Saved My Life (feat. Anané & Tony Touch)","NYC Disco",0.005260,0.937000,0.459000,0.004260,0.198000,-8.234000,0.104000,0.751000,296447,11,1,114.997002,4
694aUybqHC8rcgzBhQ07iV,"Earthquake (DJ Fresh vs. Diplo) (feat. Dominique Young Unique) - Explicit Edit","Earthquake (DJ Fresh vs. Diplo) (feat. Dominique Young Unique) [Explicit Edit]",0.002010,0.736000,0.863000,0.026300,0.033200,-0.165000,0.124000,0.183000,190040,2,0,164.001999,4
