id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
5iqrbO0fhuLMiy9tYGanv6,"C'est La Vie","C'est La Vie",0.025900,0.616000,0.933000,0.000000,0.359000,-3.762000,0.051300,0.806000,225751,0,0,129.951996,4
7o0v7fQ8SJKQjjA1kzSabX,"Howeh El Hob","Howeh El Hob",0.271000,0.487000,0.470000,0.000000,0.203000,-8.230000,0.073500,0.214000,243299,11,0,156.182999,4
0UALpesuVh1IMptB1IqHrD,"The Long March","The Long March",0.670000,0.657000,0.372000,0.704000,0.090300,-12.879000,0.036800,0.481000,216280,9,0,100.033997,4
5u7fv6kikvIUdtlQ2xqDu0,"Mahlaki","Mahlaki",0.072800,0.648000,0.889000,0.000000,0.119000,-5.211000,0.048500,0.795000,254997,2,0,142.994003,4
3kBFWV7Q6QzPhAtyMAjjM8,"Badna Nwalee El Jaw","Badna Nwalee El Jaw",0.131000,0.715000,0.980000,0.000633,0.675000,-4.187000,0.049500,0.963000,213323,9,0,128.001999,4
6Tr7kvkbSd4ZKNTn6oynr7,"Lamaallem","Lamaallem",0.011700,0.503000,0.867000,0.000000,0.072900,-3.543000,0.270000,0.658000,237714,8,1,104.922997,4
0RXLoEAAtUMPdbslvMT17f,"The Trees We Wear","The Long March",0.799000,0.559000,0.194000,0.785000,0.103000,-16.558001,0.036500,0.137000,285040,6,1,89.463997,4
51hN3ScR3uO358mhvpYJ8F,"Shou Helou","Shou Helou",0.655000,0.826000,0.719000,0.011700,0.106000,-4.654000,0.037400,0.944000,211047,11,0,119.975998,4
59TEwguuXqdtjUrdG5trEa,"Aicha - Version Mixte","Sahra",0.243000,0.584000,0.671000,0.000002,0.089600,-7.894000,0.175000,0.511000,259667,7,0,170.201996,4
3ZTuYuaV1fhdNnuIBuzTYy,"نور العين","نور العين",0.265000,0.747000,0.658000,0.000004,0.037900,-12.339000,0.078400,0.772000,307763,8,1,100.066002,4
0GqXFN7jjKYWjiNyPtozdX,"Kelma","Ghammadt Einy",0.061800,0.688000,0.711000,0.000320,0.178000,-7.708000,0.033700,0.664000,249733,1,1,104.013000,4
7a8fjXmOgj9hYb9H2883uO,"El Tannoura","Dabka 2012",0.267000,0.775000,0.957000,0.027600,0.122000,-6.408000,0.071500,0.777000,228299,5,1,103.976997,4
5Z4F0zOGKoYLv8EtBhLzmZ,"Ah W Noss","Greatest Hits",0.085600,0.809000,0.981000,0.000048,0.048200,-1.024000,0.112000,0.964000,280520,7,0,141.975006,4
4sMfDmsrCP44MXbD8oze4v,"Touta","Hawwa",0.550000,0.786000,0.818000,0.136000,0.084700,-4.742000,0.046400,0.812000,233143,1,0,105.024002,4
3IxvMUPzDnbWqRlp0sPURO,"The Hanging Moon","The Long March",0.877000,0.451000,0.198000,0.598000,0.095900,-15.871000,0.049900,0.209000,270987,7,1,114.806000,4
28bdcUznUDPjJEujZCABes,"Elli Baana","Elli Baana",0.062000,0.529000,0.902000,0.000397,0.812000,-6.694000,0.050900,0.929000,264480,10,0,194.059006,4
6tLqRYlfzFqNa86gr9UMia,"Yalla Habibi - Summer Hit","Yalla Habibi (Summer Hit)",0.017700,0.672000,0.920000,0.002880,0.082100,-3.899000,0.100000,0.838000,175781,9,0,128.003006,4
6TYFcqqQVQPb3YsgfRhvqs,"تملى معاك","تملى معاك",0.121000,0.623000,0.781000,0.000028,0.101000,-9.651000,0.037300,0.346000,269232,8,1,167.873993,4
6NPGjTxFtoAuBReP2sK1Al,"Viaje de las Almas. Travelling Souls","Viaje De Las Almas. Travelling Souls",0.784000,0.395000,0.452000,0.869000,0.083600,-11.060000,0.036000,0.378000,896493,10,1,91.497002,4
2G8hCbEMe4WoOhtw2EKJd5,"Alby Etmannah","Meaddy El Nas",0.482000,0.714000,0.754000,0.000044,0.043800,-7.005000,0.037600,0.866000,250479,3,0,100.279999,4
1y8vSNIIBD77rSKyYakmvZ,"Lealy Nahary","Lealy Nahary",0.193000,0.741000,0.711000,0.003250,0.102000,-9.884000,0.061300,0.580000,246078,9,0,103.283997,4
7JaX3X1cPBAGoTs4V1P4uy,"Kifak Inta","Fairuz - Modern Favorites",0.883000,0.500000,0.389000,0.000033,0.111000,-10.008000,0.053400,0.472000,211840,4,1,82.234001,4
2LN2AnZzVaV1OV3sacdWCm,"Ya Mnaanaa","Zahmet Hayaty",0.128000,0.747000,0.742000,0.000006,0.076400,-9.911000,0.039200,0.902000,257280,0,1,118.010002,4
0joxJdOyy3wuhQdcxdP9RW,"Omer Aasal","Omer Aasal",0.168000,0.720000,0.719000,0.000004,0.116000,-7.576000,0.043800,0.597000,221400,10,0,132.033997,4
42cnSk5u3sahzRWArTpetn,"Habiby Dah","Habiby Dah",0.041500,0.799000,0.802000,0.000051,0.245000,-7.912000,0.031100,0.755000,267168,6,0,113.802002,4
0mzymjqiLNi181yNCKEWBA,"Maik Aala Al Mot","Maik Aala Al Mot",0.212000,0.664000,0.826000,0.000000,0.186000,-5.063000,0.036800,0.649000,256514,8,1,103.978996,4
5Jzss6xqzVPGTxTUbNqtZY,"Casablanca","Casablanca",0.034500,0.746000,0.821000,0.000000,0.078800,-3.845000,0.123000,0.623000,167666,10,0,98.950996,4
6zCw0Z2KC1zIrptyCz1skQ,"من قلبي بغني","Best Arabic Music",0.180000,0.790000,0.743000,0.039500,0.098900,-6.128000,0.047300,0.820000,290490,6,0,129.028000,4
269AmdV2hBIdEJkysPDIBd,"Al bint el shalabiya","HandMade",0.709000,0.577000,0.340000,0.480000,0.060100,-15.477000,0.049400,0.704000,290427,5,0,91.516998,4
2AVA6NJZXA7UERS5nnsTzz,"نساى","نساى",0.297000,0.757000,0.832000,0.001760,0.160000,-5.489000,0.046800,0.536000,197303,1,0,98.033997,4
1CxxS8RsC2CjfF8lkjzhlP,"الراجل","الراجل",0.120000,0.824000,0.722000,0.000000,0.642000,-4.949000,0.042300,0.806000,170947,6,1,99.957001,4
634M5YM3C65bHCJ0y4ZEnG,"Lolak Habiby","Eish Besho'ak",0.104000,0.720000,0.519000,0.000000,0.097300,-6.652000,0.037100,0.446000,175152,10,0,130.029999,4
6BmGLPZV5qSAKrQ4ojB85A,"Weilak","Hobb W Mkattar",0.587000,0.812000,0.803000,0.000000,0.119000,-5.884000,0.050100,0.772000,209373,2,0,103.999001,4
5UuUqQMJff3pSZrgX3YZTD,"Sahrany","Sahrany",0.146000,0.777000,0.503000,0.000660,0.055100,-12.971000,0.040700,0.769000,260650,8,1,127.866997,4
0FypJnr7hzEQNf8crZlq16,"Ghazali","Ghazali",0.016900,0.363000,0.761000,0.000260,0.067100,-5.887000,0.136000,0.480000,214253,4,0,195.022003,3
6pXeqWsXc6r3O1JanHujuX,"Omri Kellou","Omri Kellou",0.235000,0.666000,0.835000,0.000003,0.347000,-4.692000,0.040300,0.549000,279656,8,0,99.970001,4
1Xyx6a9V7mxroQ6UE9vaWn,"Sidi Mansour","Anghami",0.113000,0.815000,0.601000,0.000013,0.062900,-11.512000,0.047600,0.668000,288967,0,1,103.956001,4
75efLRFoIacLFfmta3JFRE,"Seta Al Sobh","2010",0.027500,0.766000,0.626000,0.016100,0.015400,-10.609000,0.054000,0.922000,266841,10,0,92.001999,4
7hrFAtXVm4myZwcpSHX9YO,"Akher Marra","Akher Marra",0.026100,0.777000,0.631000,0.000004,0.061100,-5.842000,0.055500,0.862000,191478,1,0,98.067001,4
4UrcLYXvCCNyMN9etVH6qE,"Wahda Wahda","Kheles El Kalam",0.098200,0.764000,0.812000,0.000803,0.053900,-10.922000,0.035600,0.978000,188448,0,0,131.944000,4
5z5Qpe1Dmo4cBS5kTg7TvG,"Dawn - Rag Kirwani/Maqam Nahawand","Saltanah",0.885000,0.395000,0.137000,0.900000,0.066200,-24.797001,0.044300,0.336000,929493,2,0,109.757004,4
3ppfSmiuwSCLCuDZNF7QXw,"بدنا نولعها","44:36",0.078000,0.803000,0.859000,0.000002,0.090400,-3.326000,0.067700,0.551000,195784,7,0,107.955002,4
2f5Q12IVBbICJD0sgxYR2F,"ضلي اضحكي","الجرح اللي بعدو",0.312000,0.744000,0.883000,0.000000,0.110000,-5.430000,0.075400,0.469000,247400,3,0,111.997002,4
4t3BgID893bIAXxcCdux4y,"Helm Baeid","Helm Baeid",0.028100,0.734000,0.895000,0.000011,0.085800,-2.775000,0.038200,0.524000,316265,3,0,126.043999,4
5FU96SFEwMyiKnLsPhoNuh,"Masâr","Majâz",0.779000,0.584000,0.339000,0.879000,0.086400,-11.250000,0.079000,0.275000,296853,11,0,129.095993,4
5ZKYv1idhjhqIvgRGB9fl4,"اخدني معك","الله اعلم",0.225000,0.506000,0.623000,0.000153,0.048200,-8.804000,0.063000,0.276000,313940,4,0,176.246994,4
7Ee6c4pY3cTbmNWjY0GFz6,"Hiya Hiya","C'est La Vie",0.060000,0.667000,0.890000,0.000000,0.374000,-4.990000,0.034300,0.767000,200830,11,0,103.019997,4
28zmyPB8wIhNUWwNmZrJJ4,"Cavalry","Cavalry",0.048900,0.748000,0.584000,0.025800,0.333000,-8.071000,0.027800,0.542000,191969,10,1,110.028000,4
6S49sbvebaWWUYJCxQ9kYx,"Ma Baaref","Ayech Bi Oyouni",0.345000,0.630000,0.572000,0.000000,0.091500,-6.668000,0.032000,0.458000,242747,5,0,95.969002,4
1chsFxuRdocgGwhhCYfZ9m,"أهواك","عبدالحليم حافظ",0.877000,0.342000,0.296000,0.000000,0.188000,-11.740000,0.039400,0.394000,296190,5,1,126.112000,3
5Pn31ZVgrp95UDTEYcKR6K,"Dammi Falastini","Muntasib Alqamah Amshi",0.191000,0.716000,0.913000,0.000019,0.406000,-8.305000,0.051100,0.937000,240196,11,0,105.990997,4
6Lp1guODRjYW2PuMbKi9KQ,"Birds Canticum ""Birds Requiem"" Suite","Birds Requiem",0.947000,0.260000,0.091600,0.899000,0.086900,-13.672000,0.032800,0.041300,196360,11,0,73.522003,4
7gnNl60yx7mQzTA9F4cxXq,"Bahebak Ana","Wael 2006",0.237000,0.500000,0.661000,0.000002,0.215000,-7.657000,0.136000,0.507000,308715,10,1,174.056000,4
5XW2niwINBnVgFFLNF2v7z,"Aayshalak","Aayshalak",0.030400,0.705000,0.943000,0.000373,0.066800,-8.267000,0.049200,0.728000,280054,7,0,127.529999,4
2Dz7tYyOAhkS0LQfPfNWqx,"Bi Rabbek","Toul Al Yom",0.235000,0.635000,0.747000,0.000068,0.257000,-6.187000,0.061900,0.789000,233210,5,0,103.974998,4
6NAXW6IwUyswJk9bHe4y9S,"The Astounding Eyes Of Rita","The Astounding Eyes Of Rita",0.926000,0.529000,0.198000,0.884000,0.099700,-19.191999,0.037800,0.388000,521880,7,0,115.107002,4
1fT7C5rvPuWKaxWMMbX2lw,"Sahara","Blue Camel",0.943000,0.528000,0.154000,0.746000,0.116000,-18.138000,0.045700,0.283000,498360,9,1,88.532997,3
3w5hsQKiCx2rGXxj25K8ER,"Helm Seneen","Eish Besho'ak",0.045700,0.711000,0.791000,0.000166,0.715000,-5.273000,0.041700,0.678000,239352,1,0,101.980003,4
5amjLhSbgSfqCTNIcgq41F,"ENTY","ENTY",0.035600,0.517000,0.590000,0.000000,0.298000,-10.667000,0.072200,0.524000,240545,10,0,110.044998,4
1qQqHzG5JAYD2bV1DGf5v7,"نسينى الدنيا","الحب الكبير",0.208000,0.718000,0.623000,0.000005,0.100000,-6.157000,0.044100,0.427000,270251,9,0,93.010002,4
6UWZUL60UVWXE2CwbntY7B,"Taqsîm en maqâm : Nahawand-kabîr","Iraq - Irak : The Art of the 'ûd",0.854000,0.455000,0.184000,0.569000,0.168000,-22.354000,0.113000,0.369000,575333,0,0,143.136002,5
3vVEtCxtdwSSC1qz2rSHLW,"Aam Betaala' Feek","Nancy 9 (Hassa Beek)",0.307000,0.558000,0.531000,0.000000,0.063700,-5.942000,0.037700,0.460000,219902,6,1,76.967003,4
0OehILYtgc6zCEsUfHBMDH,"Boushret Kheir","Boushret Kheir",0.307000,0.811000,0.925000,0.000830,0.051400,-5.659000,0.056700,0.973000,228076,7,0,164.070999,4
4joVFoiSsaXPYo5ef4SFI3,"We Akheeran","Eish Besho'ak",0.107000,0.438000,0.613000,0.000000,0.157000,-7.084000,0.301000,0.652000,201288,4,0,183.953003,4
3PT9yjaByXVrd2dNDv9YQG,"احلى الناس","Best Arabic Music",0.127000,0.783000,0.773000,0.000973,0.362000,-7.096000,0.055500,0.911000,285652,2,0,127.982002,4
7BXhyXma11NSNQlQDZOgiN,"Nassam Alayna El Hawa","Bent El Hares",0.435000,0.554000,0.331000,0.000000,0.308000,-14.449000,0.034400,0.418000,243278,2,1,128.201996,4
6EyveOpETSJBcdQgVCMSL5,"Nasseeny Leih","Eish Besho'ak",0.005770,0.402000,0.838000,0.000000,0.132000,-5.869000,0.035300,0.641000,247944,6,0,74.836998,4
