id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
6Up545NUflOiXo8cEraH49,"You Say","Look Up Child",0.682000,0.486000,0.632000,0.000000,0.086900,-6.890000,0.034400,0.079100,274693,5,1,147.891998,4
0rH0mprtecH3grD9HFM5AD,"Reckless Love","Reckless Love",0.029100,0.572000,0.685000,0.000000,0.096300,-7.290000,0.035600,0.232000,333386,6,1,110.697998,4
2UREu1Y8CO4jXkbvqAtP7g,"Monster","Awake",0.043100,0.640000,0.957000,0.000000,0.078900,-2.336000,0.074100,0.692000,178013,8,1,134.992004,4
5Mw9bXG1dLNhbjofkVS2oR,"Oceans (Where Feet May Fail)","Zion (Deluxe Edition)",0.508000,0.262000,0.361000,0.002680,0.108000,-10.191000,0.033300,0.056000,536000,2,1,126.860001,4
1ed3wNCecRIp6SugyR0w2J,"So Will I (100 Billion X)","Wonder",0.046200,0.432000,0.416000,0.000002,0.144000,-10.376000,0.029600,0.177000,411000,9,1,127.962997,4
3UUPQ4sAtAVnkcaSr06NBi,"Look Up Child","Look Up Child",0.403000,0.730000,0.580000,0.000000,0.150000,-5.813000,0.043100,0.653000,183013,2,1,90.992996,4
1AEYT6VxrxXPMoQUxsY0E4,"Headstrong","Trapt",0.000172,0.492000,0.896000,0.000003,0.189000,-5.819000,0.117000,0.534000,285570,4,0,184.981003,4
1FYd1szE0RHXOAM00V4MEx,"Coming In Hot","Coming In Hot",0.027100,0.890000,0.454000,0.000004,0.157000,-8.777000,0.260000,0.425000,200168,8,1,140.041000,4
1lEk3U3MzbDeL5MNHkE9JU,"O Come to the Altar (Live)","Here As In Heaven",0.002740,0.256000,0.564000,0.000000,0.743000,-6.496000,0.036600,0.152000,349587,11,1,139.914001,3
0i8JFpqe9cKwnrcvoNgl1L,"Feel Invincible","Unleashed",0.000450,0.603000,0.886000,0.000000,0.260000,-3.777000,0.083700,0.395000,229933,5,0,126.025002,4
4CbKVDZkYKdv69I4bCaKUq,"Hero","Awake",0.007910,0.533000,0.967000,0.000000,0.336000,-2.543000,0.099500,0.782000,186813,1,1,142.018005,4
0vBjd0I8iefycEZ2ex1Zpi,"joy.","Burn The Ships",0.010200,0.680000,0.536000,0.001050,0.113000,-6.669000,0.058200,0.417000,233947,5,0,119.958000,4
1var9mNP1RLTlu8qVDji0F,"Till I Found You","Till I Found You",0.059700,0.373000,0.703000,0.000000,0.071500,-5.803000,0.062000,0.221000,240280,4,1,123.908997,4
1hrF6s6kfXuPv14OrD9v6X,"Known","Hills and Valleys (Deluxe Edition)",0.786000,0.576000,0.303000,0.000000,0.099300,-10.359000,0.048900,0.753000,198140,1,1,77.872002,4
35GACeX8Zl55jp29xFbvvo,"Tremble - Live","Glory & Wonder",0.221000,0.329000,0.682000,0.000000,0.190000,-6.374000,0.052600,0.162000,309093,0,1,148.029007,4
0lVYRIVjK77Z6uG2GgM8Kl,"I Can Only Imagine","Almost There",0.090900,0.407000,0.612000,0.000000,0.091400,-5.359000,0.049600,0.133000,248253,4,1,159.526993,4
4ElNxglBjcrASiGn58t9Jm,"God Only Knows","Burn The Ships",0.395000,0.597000,0.417000,0.000008,0.128000,-7.952000,0.050200,0.263000,229760,2,1,143.839005,4
2cGJxXXIBrxMhk2fWUJTLs,"Ooh Ahh (My Life Be Like) (feat. Toby Mac)","The Art of Translation",0.114000,0.757000,0.862000,0.000192,0.285000,-3.519000,0.069500,0.823000,233173,2,1,99.021004,4
5B58hgrfK6gaN5FxNyUeSJ,"Living Hope","Living Hope",0.030400,0.211000,0.558000,0.000000,0.097800,-6.232000,0.041000,0.317000,327000,3,1,143.451996,4
3iOpiHDobxZO7S4p9Y2Fgu,"Do It Again","There Is a Cloud",0.011900,0.347000,0.508000,0.000000,0.595000,-7.555000,0.029700,0.159000,398333,10,1,171.826996,4
7r9kOxiNDnkAg5QKqtyjVk,"Rescue","Look Up Child",0.780000,0.309000,0.237000,0.000000,0.110000,-8.170000,0.028300,0.109000,215613,6,1,94.615997,4
3Xfg7AegXaDLoD5GOUMf2e,"My Demons","Transmissions (Deluxe Version)",0.007680,0.274000,0.652000,0.000064,0.108000,-6.196000,0.062500,0.100000,288036,5,0,173.009003,4
4sULmO0taLzXZFs6zyf6Yn,"You Cant Stop Me","Never Land",0.045900,0.771000,0.826000,0.000000,0.264000,-4.617000,0.159000,0.451000,239962,3,0,145.985001,4
4908mwb34dqgcaxHeFjitw,"Trust In You","How Can It Be",0.017300,0.423000,0.645000,0.000000,0.106000,-5.437000,0.042900,0.223000,211600,9,1,176.014999,4
5C64H6dEsQ15bS9gp0D3Xr,"This Is Amazing Grace","The Ascension",0.004200,0.512000,0.814000,0.000000,0.099100,-5.467000,0.032700,0.273000,279787,10,1,97.997002,4
3Q8zopc4ABXhysDb1sgLVW,"Porn Star Dancing","My Darkest Days",0.019900,0.474000,0.923000,0.000000,0.067300,-3.405000,0.089700,0.347000,199013,2,1,160.035004,4
62M9yafZsSRzlsphzeJPGo,"Brother (feat. Gavin DeGraw)","Brother",0.135000,0.526000,0.803000,0.000000,0.119000,-3.989000,0.127000,0.564000,208205,11,1,157.886993,4
0nkzd3yNniB767zSDDdLZ3,"Awake and Alive","Awake",0.042500,0.434000,0.939000,0.000000,0.491000,-2.983000,0.059300,0.569000,209493,4,0,159.932007,4
05hdZ0YRqAg6qsgV1ee3LE,"I'll Find You","I'll Find You",0.131000,0.745000,0.682000,0.000000,0.119000,-5.850000,0.096400,0.198000,218213,5,0,135.065002,4
7uvDJFly0TCWWsK48NI1fx,"I just need U.","I just need U.",0.092800,0.755000,0.649000,0.000177,0.093900,-7.573000,0.030300,0.734000,226120,5,0,104.022003,4
7mj5fT0Biju5jR41m9ghUl,"King of My Heart (Live)","Starlight (Live)",0.011300,0.438000,0.529000,0.000000,0.109000,-9.224000,0.032400,0.395000,299366,9,1,136.147003,4
5O9Dz0h08LuBi0aVvDcylh,"The Resistance","Unleashed",0.000526,0.483000,0.941000,0.000004,0.310000,-3.598000,0.057500,0.503000,232067,2,0,156.033005,4
4EHWldZTas5KUyFtT0rQlY,"Lord, I Need You","All The People Said Amen",0.517000,0.457000,0.451000,0.000000,0.092800,-6.997000,0.029000,0.185000,205667,10,1,74.922997,4
1gyee1JuFFiP476LQpRMYU,"The Red","Wonder What's Next",0.000671,0.509000,0.843000,0.000803,0.348000,-3.318000,0.048800,0.332000,238400,1,0,140.054993,3
2YgtXx9OVBOzja9Fckb4FY,"Great Are You Lord","Great Are You Lord EP",0.083200,0.492000,0.656000,0.000000,0.202000,-7.361000,0.036500,0.358000,232379,9,1,147.947998,3
4C4HCABSCJDI5LNB7WlXp8,"As You Find Me - Live","As You Find Me (Live)",0.014600,0.405000,0.465000,0.000001,0.112000,-7.834000,0.032400,0.087800,522127,2,1,131.983994,4
0pAPFaE1Iwfvex9EVJuQlG,"Control (Somehow You Want Me)","Followers",0.002080,0.509000,0.750000,0.000000,0.182000,-5.884000,0.039700,0.131000,248733,11,1,120.000999,4
5WGYJbfhdexuPsLeWwqgIL,"Only Jesus","Only Jesus",0.154000,0.572000,0.712000,0.000150,0.347000,-6.085000,0.033600,0.307000,223907,2,1,123.994003,4
0fxpHpK3aw2nFWII6yveDD,"10,000 Reasons (Bless The Lord) - Live","10,000 Reasons (Live)",0.514000,0.458000,0.486000,0.000000,0.574000,-8.147000,0.025800,0.363000,342493,7,1,72.484001,4
3BDpn2Vivr1BFhlGsYs5tp,"Build My Life","Housefires III",0.371000,0.303000,0.478000,0.000000,0.131000,-7.851000,0.035200,0.117000,491691,7,1,139.794998,4
73u7dTjaBTMyvs3KWOThGR,"Surrounded (Fight My Battles)","Surrounded",0.051400,0.483000,0.556000,0.163000,0.098100,-8.296000,0.032300,0.231000,300027,10,1,140.001007,4
7k9iVpyeR5ybSPSkvmAP6K,"All Around Me","Flyleaf (Re-Release)",0.033800,0.479000,0.884000,0.000000,0.080200,-4.762000,0.048300,0.452000,198467,9,1,146.921997,4
10fW2qiEcF5koseYB8jzFr,"Maybe It's Ok","Maybe It's Ok",0.119000,0.509000,0.712000,0.000000,0.083100,-6.097000,0.033100,0.489000,211293,1,1,138.005005,4
398Dfg7EisARPcvixgrtuI,"Hills and Valleys (The Valleys Version)","Hills and Valleys (Deluxe Edition)",0.772000,0.486000,0.302000,0.000000,0.073000,-10.720000,0.033200,0.450000,249242,2,1,79.258003,4
1wuqCUWHniGdEmOKZbQ1cg,"Here Again","Hallelujah Here Below",0.012800,0.124000,0.437000,0.000000,0.120000,-8.210000,0.040900,0.103000,405914,2,1,80.889000,5
3VHNtJNVPazkHGpeGgpoOd,"Defender","Own It",0.219000,0.345000,0.377000,0.000006,0.054900,-7.715000,0.029200,0.076700,424373,7,1,139.798004,4
452Q2BzTFo0st9C4oXgtmi,"Everything","Everything",0.028700,0.800000,0.681000,0.000000,0.101000,-4.486000,0.057400,0.720000,200840,11,0,112.495003,4
787cootcZRw5Xr47Of97AN,"Even If","Lifer",0.379000,0.335000,0.582000,0.000027,0.095400,-5.090000,0.037500,0.151000,255160,5,1,110.522003,4
