id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
4tHqQMWSqmL6YjXwsqthDI,"Carol of the Bells","Home Alone (Original Motion Picture Soundtrack) [25th Anniversary Edition]",0.994000,0.418000,0.106000,0.029200,0.179000,-22.507000,0.044800,0.800000,85267,8,0,46.717999,4
61dYvvfIRtIDFuqZypPAta,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Cello Suites Nos. 1-6, BWV 1007-1012",0.900000,0.257000,0.109000,0.867000,0.076200,-21.356001,0.059700,0.307000,151480,7,1,75.019997,4
4KyJQKAFvEH4F52qSMuwIF,"Olancha Farewell","Lovely Thunder",0.992000,0.196000,0.006870,0.917000,0.106000,-34.255001,0.044200,0.053000,138427,7,1,72.125000,4
2YarjDYjBJuH63dUIh9OWv,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante","Mozart: Piano Concertos, Vol. 6",0.982000,0.194000,0.032400,0.961000,0.091600,-28.215000,0.038200,0.059600,433800,5,1,144.130005,4
2gGKrgfzNKGUHJZaLjA2cU,"Þú ert jörðin","...and they have escaped the weight of darkness",0.983000,0.121000,0.079100,0.923000,0.113000,-21.275000,0.042800,0.038000,274355,0,1,168.037003,1
3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol.3",0.995000,0.184000,0.005270,0.887000,0.173000,-37.264000,0.043200,0.151000,315427,1,0,170.612000,3
4VH3rKj1tmhUZtX3U43jBq,"The Whispers","In The Mist",0.995000,0.228000,0.003850,0.917000,0.085800,-35.213001,0.044900,0.117000,163000,9,0,141.201004,3
3CwWDlLF99yPxInCJ1lEPf,"Piano Concerto No. 20 in D Minor, K. 466: II. Romance (Excerpt)","Easy Piano Pieces",0.983000,0.291000,0.017500,0.904000,0.121000,-24.010000,0.036100,0.124000,378573,10,1,72.776001,4
5oCLJQnvbu0jt4afbDgP53,"Piano Concerto No. 23 in A Major, K. 488: II. Adagio","Easy Piano Pieces",0.988000,0.216000,0.014000,0.925000,0.095900,-26.802000,0.037300,0.045900,473933,6,0,77.501999,3
3Sy6wgTNEp6vSgLs4EyXAf,"Flight From The City","Orphée",0.932000,0.130000,0.086000,0.912000,0.108000,-21.920000,0.037300,0.037500,391160,10,1,90.223000,4
6nnacTL5on2aVsRhVDNUSo,"Through The Fire And Flames","Inhuman Rampage",0.001760,0.113000,0.951000,0.007180,0.334000,-4.743000,0.129000,0.139000,441560,0,0,200.024002,4
6vo5a9n1HWYroioj7k6gZS,"Foreshadowed - 2005 Digital Remaster","The Pearl",0.992000,0.342000,0.031400,0.906000,0.076700,-25.319000,0.043900,0.117000,232440,3,0,100.022003,4
75Q2oWlmhsTiM9KTbjyduU,"The Plateaux Of Mirror - 2004 Digital Remaster","Ambient, Vol. 2: The Plateaux Of Mirror",0.988000,0.234000,0.013800,0.830000,0.106000,-30.698999,0.048700,0.034400,253893,8,0,91.084999,4
7pClZo0Nz2StDoJ0MT77q2,"Nocturnes, Op. 9: No. 1, Larghetto in B-Flat Minor","Easy Piano Pieces",0.994000,0.290000,0.024100,0.896000,0.078000,-23.802000,0.039900,0.060700,315547,6,1,80.642998,3
43SRn56zCFKkbVmb9eM6x6,"Études, Op. 10: No. 3, Étude in E Major ""Tristesse","Easy Piano Pieces",0.994000,0.275000,0.049100,0.879000,0.074700,-21.534000,0.043900,0.054700,251520,4,1,64.210999,4
6ayq3FrdSPa6piBZGCyyUP,"Waltzes, Op. 69: No. 1 in A-Flat Major","Easy Piano Pieces",0.995000,0.359000,0.026800,0.912000,0.099200,-26.391001,0.044400,0.169000,258893,8,1,68.172997,3
