id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
7LP4Es66zdY7CyjepqmvAg,"Down","All Or Nothing",0.014900,0.663000,0.693000,0.000000,0.077800,-4.505000,0.031100,0.710000,212107,11,0,66.001999,4
7Dhy1R9NmD96wfr7VJEN37,"Bom Diggy","Bom Diggy - Single",0.273000,0.793000,0.777000,0.000000,0.144000,-5.636000,0.197000,0.528000,207692,4,0,103.956001,4
39ujbBjTwwqUFySaCYDMMT,"Proper Patola","Namaste England (Original Motion Picture Soundtrack)",0.485000,0.770000,0.824000,0.000000,0.318000,-6.491000,0.085100,0.490000,178605,1,0,172.005997,4
63MvWd6T6yoS7h4AJ4Hjrm,"Aankh Marey (From ""Simmba"")","Aankh Marey (From ""Simmba"")",0.289000,0.796000,0.978000,0.002540,0.346000,-1.266000,0.095500,0.800000,212741,5,0,129.998993,4
7yws3pF3FFguwT2Psi6c15,"Do You Remember","All Or Nothing",0.027800,0.854000,0.664000,0.000000,0.118000,-4.880000,0.085000,0.782000,210307,11,1,125.839996,4
1mLUvpjtP8RAZIt9KoZwvv,"Emergency","Emergency",0.751000,0.412000,0.355000,0.000000,0.151000,-7.619000,0.032500,0.421000,208277,1,1,82.246002,4
7Kpqjspw4Y7HrvItIRcBiW,"Jai Ho! (You Are My Destiny)","Jai Ho! (You Are My Destiny)",0.054800,0.653000,0.942000,0.000001,0.069900,-3.858000,0.060900,0.895000,222400,8,0,136.197998,4
4tjLYTXFqZhkUDga4bQ0yl,"Dilbar (From ""Satyameva Jayate"")","Dilbar (From ""Satyameva Jayate"")",0.155000,0.725000,0.912000,0.000077,0.107000,-3.665000,0.085100,0.674000,184433,9,0,104.054001,4
7sw49gd22TmoSW3sMGuHbn,"Thumka","Thumka",0.028400,0.778000,0.801000,0.000000,0.327000,-6.456000,0.075800,0.620000,167438,5,1,106.060997,4
2Cby9QLsraYQ5Thh7GbxIh,"Yarri Yeah (feat. Nani Anjali)","Magic",0.007050,0.665000,0.700000,0.000003,0.357000,-4.475000,0.037800,0.411000,238667,8,0,90.007004,4
1ZaeaGLhFSckG8sv1y7AWk,"Kya Baat Ay","Kya Baat Ay",0.632000,0.849000,0.592000,0.000002,0.108000,-4.309000,0.102000,0.652000,179444,6,0,89.966003,4
3jyqXdAjwqO3gFtjnYrbq9,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")","Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"") - Single",0.757000,0.537000,0.604000,0.000000,0.322000,-7.576000,0.054000,0.410000,155172,10,1,173.914993,4
32LKwbmh6yVsWoRRF8DIvf,"Na Ja","Na Ja",0.072400,0.772000,0.649000,0.000000,0.076100,-6.411000,0.143000,0.824000,208000,2,1,90.071999,4
6MRuNaMaH65vGyek33fXMV,"Phone","Phone",0.127000,0.448000,0.693000,0.000002,0.081500,-5.425000,0.076400,0.550000,212928,5,0,91.560997,4
4f5kLqyOJ5ZPnalEVMQrB2,"Tere Bin (From ""Simmba"")","Tere Bin (From ""Simmba"")",0.268000,0.649000,0.716000,0.000005,0.603000,-3.936000,0.038400,0.639000,230948,7,1,86.948997,4
3Oe3VdPn6rAueriQvFhCBA,"Illegal Weapon","Illegal Weapon",0.488000,0.814000,0.666000,0.000042,0.108000,-6.555000,0.063500,0.714000,230000,6,1,94.019997,4
