id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
7oGwQOTkMB9Sk3DIKJLd5F,"Baby I'm Yours - feat. Irfrane","By Your Side",0.705000,0.831000,0.794000,0.000034,0.097800,-3.701000,0.075200,0.735000,215787,2,0,118.074997,4
76resiPGue5Cum9rLUKCj0,"Ain't No Mountain High Enough - Mono","Anthology: The Best Of Marvin Gaye",0.290000,0.620000,0.813000,0.000109,0.143000,-6.115000,0.030700,0.832000,148093,11,0,129.380005,4
7cv28LXcjAC3GsXbUvXKbX,"I Will Survive - Extended Version","20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor",0.018100,0.775000,0.731000,0.009520,0.253000,-8.715000,0.053600,0.558000,198066,0,1,116.660004,4
5nNmj1cLH3r4aA4XDJ2bgY,"September","The Eternal Dance",0.114000,0.697000,0.809000,0.000521,0.183000,-8.197000,0.030200,0.980000,214827,9,1,125.941002,4
6jWkZvd1URGktyTTwcpPpB,"My Girl","The Temptations Sing Smokey",0.625000,0.579000,0.419000,0.000000,0.098100,-10.720000,0.034600,0.673000,165000,0,1,104.564003,4
79hJaqmVdohltPBNN6BULM,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","Tales From The Brothers Gibb",0.070000,0.708000,0.567000,0.001050,0.152000,-15.539000,0.035500,0.955000,281667,10,0,103.606003,4
1TfqLAPs4K3s2rJMoCokcS,"Sweet Dreams (Are Made of This) - Remastered","Sweet Dreams (Are Made Of This)",0.227000,0.692000,0.711000,0.000000,0.120000,-7.498000,0.031700,0.875000,216933,0,0,125.135002,4
1k1Bqnv2R0uJXQN4u6LKYt,"Ain't No Sunshine","Just As I Am",0.457000,0.479000,0.416000,0.000017,0.118000,-11.451000,0.124000,0.514000,125093,4,0,79.593002,4
3koCCeSaVUyrRo3N2gHrd8,"Let's Groove","Raise!",0.121000,0.869000,0.648000,0.000022,0.126000,-8.698000,0.063300,0.900000,339320,11,0,125.035004,4
40NRm1ZLvZpUSCUXAGGZ8J,"Kung Fu Fighting","The Soul of the Kung Fu Fighter",0.042200,0.598000,0.673000,0.000068,0.289000,-10.431000,0.069300,0.590000,197693,2,1,102.035004,4
7Cuk8jsPPoNYQWXK9XRFvG,"September","September",0.165000,0.694000,0.831000,0.000892,0.250000,-7.288000,0.030100,0.980000,215080,9,1,125.901001,4
1JQ6Xm1JrvHfvAqhl5pwaA,"Easy","Commodores",0.147000,0.598000,0.353000,0.000039,0.059200,-15.060000,0.034300,0.342000,256427,10,0,132.457001,4
