id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.153000,0.841000,0.798000,0.000003,0.061800,-4.206000,0.229000,0.591000,212500,1,0,95.947998,4
0lYBSQXN6rCTvUZvg9S0lU,"Let Me Love You","Encore",0.077100,0.652000,0.713000,0.000010,0.144000,-5.311000,0.036800,0.152000,205947,8,1,100.023003,4
0g5EKLgdKvNlln7TNqBByK,"Middle","Encore",0.020300,0.586000,0.701000,0.000000,0.055000,-5.326000,0.041600,0.254000,220573,1,0,104.957001,4
3OaunNUlXXs5e2PXtNAzzG,"UCLA","NOVA",0.074200,0.536000,0.879000,0.000000,0.084700,-3.019000,0.062100,0.334000,192000,1,1,140.136993,4
1RSy7B2vfPi84N80QJ6frX,"Blue Monday - 2016 Remastered Version","Singles (Remastered)",0.000726,0.793000,0.703000,0.880000,0.075000,-9.548000,0.058100,0.856000,450800,0,1,130.270004,4
0DiWol3AO6WpXZgp0goxAV,"One More Time","Discovery",0.019300,0.611000,0.697000,0.000000,0.332000,-8.618000,0.133000,0.476000,320357,2,1,122.751999,4
2Foc5Q5nqNiosCNqttzHof,"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]",0.042600,0.794000,0.811000,0.000001,0.101000,-8.966000,0.038000,0.862000,248413,6,0,116.046997,4
57kR5SniQIbsbVoIjjOUDa,"You Know You Like It","You Know You Like It",0.011300,0.426000,0.722000,0.000001,0.262000,-5.369000,0.196000,0.250000,247267,5,0,196.132996,4
5Ce9z7GqSknXccyppRxNLY,"Thief","Thief",0.005510,0.573000,0.807000,0.006080,0.109000,-2.958000,0.060000,0.206000,239711,6,1,149.949005,4
2cGxRwrMyEAp8dEbuZaVv6,"Instant Crush","Random Access Memories",0.042200,0.775000,0.585000,0.619000,0.077000,-9.516000,0.027100,0.518000,337560,10,0,109.942001,4
6GAhe3wXCDJP1RK5lZLyjX,"Came Up","Came Up",0.009080,0.613000,0.879000,0.000002,0.108000,-4.649000,0.072900,0.497000,214929,6,1,76.966003,4
1ivuWgxFQb2xzxVNSlB1hF,"DJ Turn It Up","Amsterdam Twerk Music",0.000956,0.829000,0.695000,0.178000,0.112000,-5.561000,0.047300,0.369000,211777,1,1,102.017998,4
69kOkLUCkxIZYexIgSG8rq,"Get Lucky","Random Access Memories",0.037800,0.810000,0.793000,0.000002,0.072000,-9.404000,0.040300,0.863000,369627,6,0,116.049004,4
5W3cjX2J3tjhG8zb6u0qHn,"Harder Better Faster Stronger","Discovery",0.042700,0.817000,0.716000,0.002630,0.358000,-8.898000,0.144000,0.692000,224693,6,0,123.474998,4
67awxiNHNyjMXhVgsHuIrs,"Turn Down for What","Turn Down for What",0.001070,0.818000,0.799000,0.128000,0.057000,-4.100000,0.156000,0.081500,213733,1,0,100.014000,4
6jq6rcOikCZAmjliAgAmfT,"Light","Light",0.085700,0.570000,0.763000,0.000002,0.093200,-4.137000,0.057300,0.430000,239853,1,1,150.087997,4
5CMjjywI0eZMixPeqNd75R,"Lose Yourself to Dance","Random Access Memories",0.083900,0.832000,0.659000,0.001140,0.075300,-7.828000,0.057000,0.674000,353893,10,0,100.163002,4
