id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
0QZ5yyl6B6utIWkxeBDxQN,"The Night We Met","Strange Trails",0.968000,0.441000,0.379000,0.262000,0.639000,-9.545000,0.044900,0.105000,208227,2,1,174.117996,3
3JvrhDOgAt6p7K8mDyZwRd,"Riptide","Dream Your Life Away (Special Edition)",0.431000,0.484000,0.731000,0.000000,0.151000,-6.694000,0.037900,0.510000,204280,1,1,101.653999,4
2xYlyywNgefLCRDG8hlxZq,"Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads",0.546000,0.255000,0.430000,0.000019,0.188000,-12.564000,0.032200,0.546000,197813,9,1,164.266998,4
2e9N4vHYVUwSwRorBzsZXE,"Almost (Sweet Music)","Almost (Sweet Music)",0.021000,0.427000,0.689000,0.000002,0.203000,-5.589000,0.135000,0.706000,217480,7,1,88.875000,4
3yrSvpt2l1xhsV9Em88Pul,"Brown Eyed Girl","Blowin' Your Mind!",0.182000,0.491000,0.583000,0.000000,0.407000,-10.964000,0.037600,0.907000,183307,7,1,150.572006,4
1CS7Sd1u5tWkstBhpssyjP,"Take Me to Church","Hozier (Expanded Edition)",0.634000,0.566000,0.664000,0.000000,0.116000,-5.303000,0.046400,0.437000,241693,4,0,128.945007,4
0W4Kpfp1w2xkY3PrV714B7,"Ho Hey","The Lumineers",0.794000,0.685000,0.466000,0.000002,0.091500,-9.074000,0.030400,0.353000,163133,0,1,79.935997,4
5kXDF4OmM5COyeo6z97nEk,"Harmony Hall","Harmony Hall / 2021",0.475000,0.653000,0.760000,0.000129,0.091700,-6.086000,0.047900,0.600000,308733,11,1,98.008003,4
3d8y0t70g7hw2FOWl9Z4Fm,"Ophelia","Cleopatra",0.613000,0.664000,0.573000,0.000363,0.085700,-6.519000,0.027700,0.566000,160097,5,1,76.023003,4
5MMZJtHOiH1RmQSSe3DJdg,"Sleep On The Floor","Cleopatra",0.249000,0.389000,0.431000,0.000000,0.130000,-8.061000,0.034400,0.275000,211851,7,1,142.139999,4
0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust A Happy Song",0.008470,0.560000,0.936000,0.000000,0.161000,-5.835000,0.043900,0.371000,218013,3,1,112.959999,4
40riOy7x9W7GXjyGp4pjAv,"Hotel California - Eagles 2013 Remaster","Hotel California (Remastered)",0.005740,0.579000,0.508000,0.000494,0.057500,-9.484000,0.027000,0.609000,391376,2,1,147.125000,4
4e3wYOolOau2A9D7GYqtSG,"Where's My Love - Piano Solo","Where's My Love",0.989000,0.539000,0.051100,0.928000,0.127000,-16.503000,0.058800,0.135000,274493,3,1,179.994003,4
