id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
5O5PY5HJNPxD7KyqU0SEhH,"Mujer Amante","XX aniversario en vivo - Magos, Espadas y Rosas",0.004330,0.485000,0.791000,0.000000,0.132000,-7.719000,0.035800,0.431000,376584,10,0,122.080002,4
46nYeZImWSsOebaCUrfEW1,"La Leyenda del Hada y el Mago","XX aniversario en vivo - Magos, Espadas y Rosas",0.003060,0.421000,0.904000,0.000000,0.097000,-6.215000,0.051700,0.255000,323518,1,1,113.997002,1
7aqnWkjL494Hn9bxJZ2YBm,"Aún Estás En Mis Sueños","La Llave De La Puerta Secreta",0.002890,0.557000,0.942000,0.000822,0.365000,-2.349000,0.030700,0.427000,303067,11,1,122.071999,4
5RhexREg5PNy7BwoJnjsUt,"El Reino Olvidado","El Reino Olvidado",0.005420,0.591000,0.873000,0.000036,0.151000,-4.448000,0.027800,0.342000,336640,8,0,130.029999,4
23wbyzX57usJHzKosmFM5g,"Talismán","El Reino Olvidado",0.015900,0.530000,0.802000,0.000007,0.317000,-5.604000,0.028100,0.384000,315797,1,0,118.031998,4
2zTIoTRV6fIB39WKg2kxVF,"Ella","VII",0.303000,0.651000,0.482000,0.000000,0.102000,-8.309000,0.026800,0.118000,249092,0,1,88.994003,4
7a9UH34OCK6FAeNlcWm0XR,"Smells Like Teen Spirit","Bruthal 6",0.000032,0.506000,0.968000,0.000031,0.339000,-3.032000,0.121000,0.458000,236413,6,1,120.029999,4
71pw0q9mQD891hI2lJQkbd,"Volviendo a casa","El Camino del Fuego",0.001840,0.535000,0.931000,0.022400,0.252000,-3.505000,0.065600,0.320000,329732,7,1,126.130997,4
11Wv606Pj8YAF4tJLGEF2P,"Como Yo Nadie Te Ha Amado","Canciones doradas",0.410000,0.354000,0.554000,0.000000,0.095900,-5.578000,0.038100,0.139000,295306,4,1,173.085999,3
0N19GlFqpOgdi6M72KBaaq,"El Sueño De La Gitana","Rata Blanca",0.022100,0.473000,0.862000,0.623000,0.278000,-5.964000,0.042200,0.395000,432000,2,1,107.031998,4
0iEeskpJ7VJBYO4KJjT3KI,"En Tus Manos","Patan 6",0.000003,0.514000,0.852000,0.099300,0.116000,-8.937000,0.036200,0.547000,245251,2,0,102.014999,4
11CiYgf5UUC4Z1F60E0Pjl,"Hermano de Acero","Patan 6",0.000120,0.527000,0.860000,0.000165,0.098300,-8.224000,0.052000,0.536000,316570,2,0,124.974998,4
4MZTSMh0HdXIhiEr5HVnZh,"Instinto Animal","Patan 6",0.000086,0.495000,0.855000,0.137000,0.254000,-8.822000,0.036500,0.487000,255387,2,1,93.015999,4
4uJ2kBOIdyon0TSiFfbZPV,"Despertar","Patan 6",0.000100,0.508000,0.806000,0.761000,0.317000,-9.106000,0.037800,0.591000,235475,1,1,155.014999,4
5hvoEDfAhRqNbCuJV2RLAB,"Cobarde","Patan 6",0.000016,0.478000,0.877000,0.019800,0.175000,-8.880000,0.046200,0.571000,289627,0,0,163.966995,4
25sW3aRYlvCnA0UmcF2jcQ,"El Abismo de Tu Soledad","Patan 6",0.000015,0.331000,0.929000,0.022400,0.273000,-7.352000,0.049300,0.602000,231291,7,1,179.938004,4
6M3fbdfsXJotpyA8D1gdfM,"Arde Tu Sangre","Patan 6",0.000266,0.559000,0.834000,0.023700,0.118000,-8.443000,0.051500,0.575000,278928,2,1,120.061996,4
2q0qVFgWrafYv9di51udX0,"Por Tu Maldad","Patan 6",0.001300,0.586000,0.696000,0.029400,0.108000,-8.570000,0.034600,0.301000,338352,8,1,124.987999,4
4lmOjxZeu3EZzboY6DRFsa,"Muerte en Mi Piel","Patan 6",0.000106,0.214000,0.754000,0.000014,0.092200,-8.657000,0.051500,0.353000,339155,5,0,83.212997,4
4ssEZY6xCBcxzR2N0FW3Uv,"De Pie","Patan 6",0.000407,0.463000,0.893000,0.000554,0.248000,-8.083000,0.052700,0.575000,262747,7,1,149.949997,4
0hRbKhVT9aHUpat3bYkwyd,"Decadencia","Patan 6",0.001510,0.460000,0.551000,0.000535,0.072200,-10.532000,0.030600,0.037900,380616,0,1,140.046005,4
0lSCrRW1EgkmFstXcxBDrH,"Getta Fuk","Getta Fuk",0.013900,0.641000,0.957000,0.342000,0.422000,-2.874000,0.133000,0.252000,308606,4,0,150.003006,4
4Rx6PKrtLB9dJr7NMnR4Lg,"El Beso de la Bruja","XX aniversario en vivo - Magos, Espadas y Rosas",0.000022,0.455000,0.900000,0.000000,0.136000,-6.917000,0.040600,0.326000,265398,2,1,144.979996,4
6D1Theo7lCIUYI8SPtwdN2,"Mujer Amante (versión acústica)","XX aniversario en vivo - Magos, Espadas y Rosas",0.333000,0.637000,0.552000,0.000004,0.084900,-6.917000,0.034600,0.183000,412265,9,0,116.081001,4
3XKhXJz8Sa9WHcbmbe0xQw,"La Llave De La Puerta Secreta","La Llave De La Puerta Secreta",0.001580,0.355000,0.959000,0.015800,0.080100,-3.440000,0.057900,0.401000,353880,8,0,174.914993,4
2fovmSPyxUYuacp9yWQ46m,"Cuando la luz oscurece","El Camino del Fuego",0.003790,0.504000,0.453000,0.000040,0.125000,-7.153000,0.024200,0.119000,468079,11,0,104.053001,4
63HuoMUx1OII0m2gJFZGDa,"Volveré A Empezar","Resurgir",0.000244,0.450000,0.902000,0.000067,0.144000,-3.588000,0.053300,0.338000,218093,7,1,119.961998,4
5e9PJvDX8ATb17jvUFzN1H,"Todo Lo Que Hago Lo Hago por Ti","Canciones doradas",0.363000,0.440000,0.465000,0.000003,0.070700,-6.614000,0.029000,0.120000,436024,1,1,130.996002,4
2Q2gfn94xVojNhhBOsesZB,"El círculo de fuego","El Reino Olvidado",0.001250,0.541000,0.926000,0.019000,0.180000,-4.194000,0.031100,0.712000,297064,1,0,97.997002,4
7pS6wp8P1MkqbjBlZtkk2Z,"Mamma","La Llave De La Puerta Secreta",0.158000,0.450000,0.637000,0.000067,0.116000,-3.000000,0.030400,0.202000,368160,8,1,145.973999,4
2Fq2c2oyYzcUH4WzgoiIel,"Tan Lejos de Aquel Sueño","Tormenta Eléctrica",0.000207,0.609000,0.654000,0.000321,0.094100,-6.551000,0.029600,0.592000,334274,1,0,125.066002,4
76ACFiSJnV1i1o5yUftk5z,"Solo Para Amarte","Poder Vivo",0.008930,0.545000,0.990000,0.002030,0.975000,-4.393000,0.114000,0.241000,351080,8,1,96.033997,4
4GEwKXEgUAWy7nMbjfP6qJ,"Mujer Amante - En Vivo","En el Teatro Opera - En Vivo",0.026700,0.496000,0.851000,0.013000,0.051000,-5.689000,0.038000,0.604000,334259,11,0,115.362000,4
1iAePJy86UM5JmgEviW44Z,"Mujer Amante (versión acústica)","Mujer Amante (versión acústica)",0.333000,0.637000,0.552000,0.000004,0.084900,-6.917000,0.034600,0.183000,412265,9,0,116.081001,4
2huyZygVa5SjgzgdpGsFDf,"Porque es tan difícil amar","XX aniversario en vivo - Magos, Espadas y Rosas",0.000886,0.298000,0.639000,0.000528,0.349000,-7.709000,0.033200,0.059700,242146,10,0,101.511002,4
63xViD5E5Ka3SxbcpMNffi,"Pequeño Ángel Oscuro","Tormenta Eléctrica",0.004250,0.360000,0.613000,0.000020,0.077100,-6.338000,0.029800,0.420000,294429,8,0,175.981995,4
6Jw7k665DDtZzeVIlAQKWa,"La Otra Cara De La Moneda","La Llave De La Puerta Secreta",0.008310,0.468000,0.882000,0.000000,0.255000,-2.288000,0.031900,0.558000,317213,3,0,140.080002,4
57ME1gCMjUiFnR4q8bIOMg,"Chico Callejero","Rata Blanca",0.029300,0.521000,0.774000,0.804000,0.268000,-6.194000,0.035500,0.299000,306013,4,1,117.652000,4
5hTDilZpuznsMv3UEU0ZF3,"Un día más, un día menos","El Reino Olvidado",0.006850,0.552000,0.621000,0.003390,0.097400,-6.685000,0.023200,0.394000,346157,1,0,96.023003,4
6nyT3TYf0PqYUVXejsZet1,"El Ultimo Ataque","Rata Blanca",0.000427,0.315000,0.898000,0.906000,0.158000,-5.373000,0.041500,0.442000,485973,6,1,93.375999,4
546dWHeMpRHQWex7zk64PL,"Rompe El Hechizo","Rata Blanca",0.001100,0.241000,0.929000,0.796000,0.351000,-4.806000,0.098800,0.291000,382040,6,0,141.235001,4
1pVSuJ7zj0gVE7atFVxKRS,"Bajo El Poder Del Sol","La Llave De La Puerta Secreta",0.003080,0.490000,0.899000,0.002670,0.161000,-2.381000,0.042700,0.735000,319827,5,0,112.537003,3
4ZtJ5mEytzeHEilU8v7fWA,"Haz tu jugada","XX aniversario en vivo - Magos, Espadas y Rosas",0.000021,0.430000,0.918000,0.000000,0.385000,-6.651000,0.041300,0.219000,393224,5,0,142.018997,4
5RFtbKNajR3qrFV9v1TIwB,"1000 Lágrimas","Alma Irae",0.423000,0.514000,0.686000,0.000000,0.118000,-6.366000,0.035100,0.280000,347218,2,0,75.049004,4
69Sf6oHKKmQNOYYvaw2Pfb,"Guerrero del Arco Iris","Guerrero del Arco Iris",0.000023,0.197000,0.726000,0.636000,0.102000,-12.175000,0.038200,0.318000,304720,6,0,168.710999,4
31ZDsU209xswb6aOz67WoH,"Tormenta Eléctrica","Tormenta Eléctrica",0.000078,0.443000,0.936000,0.021400,0.465000,-5.804000,0.034600,0.500000,370683,1,1,171.022995,4
4uA9v8dDJpKJ0pAP2bpakn,"Noche Sin Sueños","Guerrero del Arco Iris",0.000932,0.495000,0.263000,0.039900,0.155000,-14.522000,0.031500,0.069100,370360,9,1,110.084999,4
7foEP3davTBDdtm8GpJMSg,"Blues","La Llave De La Puerta Secreta",0.004870,0.160000,0.687000,0.002290,0.320000,-3.181000,0.032600,0.264000,526480,1,0,155.451996,3
2b1vdoLv1jie12hphYC01s,"La canción del guerrero","El Camino del Fuego",0.000838,0.436000,0.891000,0.346000,0.130000,-4.053000,0.059700,0.348000,305305,1,0,165.136002,4
