id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
2JvzF1RMd7lE3KmFlsyZD8,"MIDDLE CHILD","MIDDLE CHILD",0.149000,0.837000,0.364000,0.000000,0.271000,-11.713000,0.276000,0.463000,213594,8,1,123.984001,4
1xzBco0xcoJEDXktl7Jxrr,"Mo Bamba","MUDBOY",0.194000,0.729000,0.625000,0.009860,0.248000,-5.266000,0.031500,0.261000,183907,4,1,146.033997,4
2IRZnDFmlqMuOrYOLnZZyc,"Going Bad (feat. Drake)","Championships",0.259000,0.889000,0.496000,0.000000,0.252000,-6.365000,0.090500,0.544000,180522,4,0,86.002998,4
3ee8Jmje8o58CHK66QrVC2,"SAD!","?",0.258000,0.740000,0.613000,0.003720,0.123000,-4.880000,0.145000,0.473000,166606,8,1,75.023003,4
79OEIr4J4FHV0O3KrhaXRb,"Splashin","Splashin",0.001950,0.942000,0.383000,0.000000,0.092200,-8.099000,0.565000,0.380000,177806,10,1,100.021004,4
2t8yVaLvJ0RenpXUIAC52d,"a lot","i am > i was",0.039500,0.837000,0.636000,0.001250,0.342000,-7.643000,0.086000,0.274000,288624,1,1,145.972000,4
0FZ4Dmg8jJJAPJnvBIzD9z,"ZEZE (feat. Travis Scott & Offset)","Dying To Live",0.052100,0.861000,0.603000,0.000000,0.092400,-5.788000,0.176000,0.504000,228760,8,0,98.042999,4
0JP9xo3adEtGSdUEISiszL,"Moonlight","?",0.556000,0.921000,0.537000,0.004040,0.102000,-5.723000,0.080400,0.711000,135090,9,0,128.009003,4
78QR3Wp35dqAhFEc2qAGjE,"Drip Too Hard (Lil Baby & Gunna)","Drip Harder",0.103000,0.896000,0.671000,0.000000,0.552000,-6.977000,0.289000,0.358000,145543,1,0,112.501999,4
0QIjsbm2fh1cJ45XO9eGqq,"Wake Up in the Sky","Wake Up in the Sky",0.003810,0.800000,0.578000,0.000000,0.359000,-5.144000,0.048500,0.367000,204665,4,0,143.009995,4
25F6MWrnFBCXVnpN4n76EK,"Keanu Reeves","Keanu Reeves",0.059100,0.710000,0.888000,0.000000,0.134000,-6.457000,0.235000,0.816000,225987,2,1,170.192993,4
7m9OqQk4RVRkw9JJdeAw96,"Jocelyn Flores","17",0.469000,0.872000,0.391000,0.000004,0.297000,-9.144000,0.242000,0.437000,119133,0,0,134.020996,4
6DCZcSspjsKoFjzjrWoCdn,"God's Plan","Scorpion",0.033200,0.754000,0.449000,0.000083,0.552000,-9.211000,0.109000,0.357000,198973,7,1,77.168999,4
7AQim7LbvFVZJE3O8TYgf2,"Fuck Love (feat. Trippie Redd)","17",0.017200,0.797000,0.533000,0.000152,0.103000,-9.740000,0.041200,0.329000,146520,0,0,131.035995,4
2LskIZrCeLxRvCiGP8gxlh,"Arms Around You (feat. Maluma & Swae Lee)","Arms Around You (feat. Maluma & Swae Lee)",0.030200,0.703000,0.723000,0.000002,0.126000,-5.450000,0.041200,0.288000,198903,9,0,104.969002,4
74lnM5V6ecvoTPV0fvptx9,"Nuketown (feat. Juice WRLD)","STOKELEY",0.113000,0.808000,0.617000,0.000000,0.734000,-9.320000,0.442000,0.632000,166400,10,0,149.962006,4
5274I4mUMnYczyeXkGDWZN,"Fine China","Future & Juice WRLD Present... WRLD ON DRUGS",0.048400,0.656000,0.542000,0.000000,0.126000,-7.358000,0.323000,0.551000,141587,7,1,166.110992,4
1fewSx2d5KIZ04wsooEBOz,"Space Cadet (feat. Gunna)","NOT ALL HEROES WEAR CAPES (Deluxe)",0.368000,0.901000,0.464000,0.000017,0.238000,-9.789000,0.064500,0.638000,203267,5,0,109.003998,4
3SnXwQUrvSacFziUYXTNKY,"Congratulations","So Far Gone",0.025300,0.340000,0.839000,0.000000,0.294000,-2.385000,0.117000,0.129000,332530,6,1,77.549004,4
524wvipGqxPKYWxkjf9y46,"Little Bit (feat. Lykke Li)","So Far Gone",0.101000,0.767000,0.897000,0.026100,0.653000,-4.917000,0.037700,0.755000,230484,11,0,120.391998,4
0JaVdpmiex2EP7bBzyKVTa,"November 18th","So Far Gone",0.586000,0.710000,0.475000,0.000000,0.106000,-11.096000,0.587000,0.528000,188189,11,0,72.056999,4
2TWSilrWcTrgVKcP8kfEfg,"Unstoppable (Remix - feat. Santo Gold & Lil Wayne)","So Far Gone",0.176000,0.777000,0.914000,0.000000,0.718000,-2.766000,0.319000,0.828000,209957,10,1,150.061005,4
