id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
5p7ujcrUXASCNwRaWNHR1C,"Without Me","Without Me",0.297000,0.752000,0.488000,0.000009,0.093600,-7.050000,0.070500,0.533000,201661,6,1,136.041000,4
0CZ8lquoTX2Dkg7Ak2inwA,"1950","1950",0.648000,0.600000,0.535000,0.000005,0.162000,-7.043000,0.107000,0.269000,225133,4,1,71.912003,4
7oK9VyNzrYvRFo7nQEYkWN,"Mr. Brightside","Hot Fuss",0.001080,0.330000,0.936000,0.000000,0.092600,-3.660000,0.091700,0.234000,222587,1,1,148.112000,4
0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust A Happy Song",0.008470,0.560000,0.936000,0.000000,0.161000,-5.835000,0.043900,0.371000,218013,3,1,112.959999,4
0QZ5yyl6B6utIWkxeBDxQN,"The Night We Met","Strange Trails",0.968000,0.441000,0.379000,0.262000,0.639000,-9.545000,0.044900,0.105000,208227,2,1,174.117996,3
0OgGn1ofaj55l2PcihQQGV,"Drew Barrymore","Drew Barrymore",0.493000,0.763000,0.572000,0.001180,0.106000,-7.312000,0.059500,0.250000,190472,11,0,151.929993,4
1tT55K6VEyO6XFDxK4lDQe,"In My Head","In My Head",0.745000,0.499000,0.181000,0.001230,0.106000,-15.359000,0.042900,0.074700,214533,9,0,111.956001,4
7y9iMe8SOB6z3NoHE2OfXl,"Bad At Love","hopeless fountain kingdom (Deluxe)",0.060400,0.675000,0.751000,0.000000,0.089300,-3.539000,0.029600,0.612000,181279,0,1,118.384003,4
5EYi2rH4LYs6M21ZLOyQTx,"Loving Is Easy","Loving Is Easy",0.217000,0.756000,0.609000,0.004740,0.096000,-7.927000,0.054400,0.537000,155720,3,1,117.023003,4
1RMJOxR6GRPsBHL8qeC2ux,"Best Part (feat. H.E.R.)","Freudian",0.808000,0.524000,0.364000,0.000000,0.100000,-10.209000,0.036700,0.436000,209831,7,1,75.239998,4
4EpZ4eYuZOwPSSwyqpdHnJ,"Sunflower","Sunflower",0.646000,0.384000,0.765000,0.003520,0.522000,-4.463000,0.057900,0.567000,252231,6,1,129.903000,4
6XcfKZvJio9Z0fQy11GnNX,"broken","finding it hard to smile",0.001750,0.666000,0.728000,0.000004,0.042900,-5.808000,0.041900,0.510000,204878,7,1,122.996002,4
6Zc5f20q7sOe1IC1c1jQvZ,"Without Me (with Juice WRLD)","Without Me (with Juice WRLD)",0.351000,0.742000,0.515000,0.000000,0.184000,-6.103000,0.074700,0.452000,228816,6,1,136.020004,4
47Bg6IrMed1GPbxRgwH2aC,"Best Friend","Best Friend",0.395000,0.575000,0.714000,0.000000,0.115000,-5.247000,0.059600,0.320000,262231,6,1,144.981995,4
3JvrhDOgAt6p7K8mDyZwRd,"Riptide","Dream Your Life Away (Special Edition)",0.431000,0.484000,0.731000,0.000000,0.151000,-6.694000,0.037900,0.510000,204280,1,1,101.653999,4
7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches",0.145000,0.733000,0.710000,0.115000,0.095600,-5.849000,0.029200,0.965000,239600,5,0,127.974998,4
7zFXmv6vqI4qOt4yGf3jYZ,"Get You (feat. Kali Uchis)","Freudian",0.422000,0.658000,0.294000,0.000052,0.074900,-8.533000,0.032100,0.358000,278180,4,0,74.038002,4
5k38wzpLb15YgncyWdTZE4,"Him & I (with Halsey)","The Beautiful & Damned",0.053400,0.589000,0.731000,0.000000,0.308000,-6.343000,0.086800,0.191000,268867,2,1,87.907997,4
5kXDF4OmM5COyeo6z97nEk,"Harmony Hall","Harmony Hall / 2021",0.475000,0.653000,0.760000,0.000129,0.091700,-6.086000,0.047900,0.600000,308733,11,1,98.008003,4
4kbj5MwxO1bq9wjT5g9HaA,"Shut Up and Dance","TALKING IS HARD",0.007010,0.578000,0.866000,0.000000,0.257000,-3.804000,0.061900,0.619000,199080,1,1,128.037994,4
23c9gmiiv7RCu7twft0Mym,"Who Hurt You?","Who Hurt You?",0.586000,0.649000,0.493000,0.000167,0.066700,-7.645000,0.110000,0.277000,231964,11,0,104.542000,4
5FVd6KXrgO9B3JPmC8OPst,"Do I Wanna Know?","AM",0.186000,0.548000,0.532000,0.000263,0.217000,-7.596000,0.032300,0.405000,272394,5,1,85.029999,4
4BdGO1CaObRD4La9l5Zanz,"Sit Next to Me","Sacred Hearts Club",0.117000,0.638000,0.738000,0.000384,0.689000,-4.976000,0.029200,0.657000,243147,6,0,97.021004,4
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine",0.005430,0.611000,0.797000,0.001370,0.260000,-7.627000,0.053300,0.518000,218107,6,0,120.041000,4
6pZrMNlxjDl216OcdBGpfJ,"do u even miss me at all?","do u even miss me at all?",0.384000,0.819000,0.519000,0.000000,0.089900,-7.160000,0.076800,0.452000,177600,10,0,100.039001,4
3Pzh926pXggbMe2ZpXyMV7,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)",0.043800,0.634000,0.849000,0.000000,0.363000,-7.075000,0.105000,0.919000,175493,0,1,156.003998,4
