id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
5NfJGBAL9mgFPRQxKJmiX2,"Miss Me More","Unapologetically (Deluxe Edition)",0.014000,0.643000,0.720000,0.000000,0.083400,-7.146000,0.052700,0.491000,192840,2,1,96.028000,4
5nNmj1cLH3r4aA4XDJ2bgY,"September","The Eternal Dance",0.114000,0.697000,0.809000,0.000521,0.183000,-8.197000,0.030200,0.980000,214827,9,1,125.941002,4
4TTV7EcfroSLWzXRY6gLv6,"Alexander Hamilton","Hamilton (Original Broadway Cast Recording)",0.524000,0.609000,0.435000,0.000000,0.118000,-7.862000,0.284000,0.563000,236738,11,0,131.998001,4
5hslUAKq9I9CG2bAulFkHN,"It's the Most Wonderful Time of the Year","The Andy Williams Christmas Album",0.766000,0.240000,0.598000,0.000000,0.117000,-8.435000,0.037000,0.776000,151933,7,1,202.082001,3
4Hhv2vrOTy89HFRcjU3QOx,"At Last","At Last!",0.707000,0.171000,0.330000,0.003810,0.302000,-9.699000,0.032900,0.315000,182400,5,1,174.431000,3
7EqpEBPOohgk7NnKvBGFWo,"Wait for It","Hamilton (Original Broadway Cast Recording)",0.125000,0.561000,0.474000,0.000005,0.092200,-9.638000,0.155000,0.513000,193750,6,1,86.897003,4
1J9iVCaEriyoMXpj2XszhU,"When Sunny Gets Blue","Today And Tomorrow",0.846000,0.569000,0.117000,0.852000,0.097800,-22.740999,0.044600,0.101000,282320,5,1,60.483002,4
1VuAamHM7P3VQQEXYGG3Uu,"Joy To The World","The Christmas Song (Expanded Edition)",0.818000,0.553000,0.337000,0.000000,0.113000,-10.334000,0.030000,0.662000,84987,10,1,101.917999,4
4PS1e8f2LvuTFgUs1Cn3ON,"The Christmas Song (Merry Christmas To You)","The Christmas Song (Expanded Edition)",0.920000,0.319000,0.210000,0.000081,0.138000,-15.231000,0.034100,0.209000,192160,1,1,78.695999,4
7Cuk8jsPPoNYQWXK9XRFvG,"September","September",0.165000,0.694000,0.831000,0.000892,0.250000,-7.288000,0.030100,0.980000,215080,9,1,125.901001,4
29U7stRjqHU6rMiS8BfaI9,"What A Wonderful World - Single Version","What A Wonderful World",0.729000,0.271000,0.165000,0.000002,0.118000,-20.652000,0.035100,0.203000,139227,5,1,77.082001,4
0E8q2Fx2XuzXCO2NSAppkR,"In A Sentimental Mood","Duke Ellington & John Coltrane",0.936000,0.464000,0.305000,0.084600,0.208000,-12.435000,0.031600,0.282000,255227,3,0,108.231003,4
2sEq2rC3ynYsT49x7utWnd,"Dear Theodosia","Hamilton (Original Broadway Cast Recording)",0.906000,0.601000,0.222000,0.000041,0.072300,-10.485000,0.030300,0.271000,184004,9,1,106.753998,4
0aWMVrwxPNYkKmFthzmpRi,"Blue in Green","Kind Of Blue (Legacy Edition)",0.810000,0.421000,0.016100,0.002100,0.097800,-25.358000,0.037400,0.160000,337733,2,0,110.926003,4
2uFaJJtFpPDc5Pa95XzTvg,"Let It Snow! Let It Snow! Let It Snow!","A Winter Romance",0.912000,0.452000,0.240000,0.000002,0.175000,-14.014000,0.035100,0.701000,117147,1,1,134.005005,4
2WaOQWSv0D1tZNxyLvnGAI,"Yeah Boy","The First Time",0.231000,0.589000,0.809000,0.000000,0.071900,-5.292000,0.037600,0.496000,194413,3,1,88.964996,4
2wqXQjOmQ9KoBm9Ssgt4Fo,"Peter Pan","The First Time",0.028400,0.514000,0.659000,0.000000,0.266000,-6.142000,0.030900,0.463000,200040,1,1,76.483002,4
