id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
3V8UKqhEK5zBkBb6d6ub8i,"Te Boté - Remix","Te Boté (Remix)",0.542000,0.903000,0.675000,0.000013,0.059500,-3.445000,0.214000,0.442000,417920,11,0,96.507004,4
6MJUCumnQsQEKbCy28tbCP,"Adictiva","Adictiva",0.291000,0.788000,0.771000,0.000056,0.172000,-3.206000,0.056300,0.701000,207853,4,0,99.038002,4
7dNwJbsT0sg1le5kVugGJb,"Bubalu","Bubalu",0.616000,0.800000,0.355000,0.000000,0.118000,-10.470000,0.089500,0.253000,228493,6,0,145.929001,4
0s5DNDV6LAKn2u2Ufa3VjQ,"Desconocidos","Desconocidos",0.146000,0.709000,0.771000,0.000003,0.249000,-4.598000,0.166000,0.709000,204453,7,1,174.005997,4
5w9c2J52mkdntKOmRLeM2m,"Con Calma","Con Calma",0.110000,0.737000,0.860000,0.000002,0.057400,-2.652000,0.059300,0.656000,193227,8,0,93.988998,4
6rPO02ozF3bM7NnOV4h6s2,"Despacito - Remix","Despacito Feat. Justin Bieber (Remix)",0.228000,0.653000,0.816000,0.000000,0.096700,-4.353000,0.167000,0.816000,228827,2,1,178.085999,4
2wRkBumdItthjYP9XknImg,"Está Rico","Está Rico",0.266000,0.817000,0.740000,0.000000,0.099200,-4.566000,0.283000,0.674000,215151,11,0,130.039993,4
3ao3OVxHlb3C08vAaApUlm,"Imposible","Imposible",0.122000,0.786000,0.764000,0.000000,0.102000,-2.935000,0.079800,0.913000,163880,11,1,90.978996,4
2D3z17LBMJ2HEHeBFFjTLi,"Reggaeton","Reggaeton",0.016500,0.747000,0.740000,0.000099,0.101000,-4.325000,0.191000,0.552000,158800,4,0,176.059006,4
3ZFTkvIE7kyPt6Nu3PEa7V,"Hips Don't Lie","Oral Fixation, Vol. 2 (Expanded Edition)",0.284000,0.778000,0.824000,0.000000,0.405000,-5.892000,0.071200,0.756000,218093,10,0,100.024002,4
59PYgzOiOjGDzjDT5N5oOX,"Asesina - Remix","Asesina (Remix)",0.589000,0.825000,0.690000,0.000000,0.413000,-4.252000,0.226000,0.516000,327467,10,0,94.194000,4
059bcIhyc2SBwm6sw2AZzd,"Te Vi","Te Vi",0.044600,0.877000,0.777000,0.000035,0.086300,-4.246000,0.117000,0.706000,231848,1,1,102.019997,4
39N9RPD9MRb5WmoLzNzPeA,"X","X",0.036400,0.595000,0.773000,0.001080,0.334000,-4.736000,0.054900,0.711000,173628,9,0,180.072998,4
2ijef6ni2amuunRoKTlgww,"Sin Pijama","Sin Pijama",0.354000,0.791000,0.745000,0.000029,0.104000,-3.695000,0.046400,0.820000,188560,11,0,94.014000,4
2zDj4WjbNDmrRL6Z4YjjCA,"Amigos Con Derechos","Amigos Con Derechos",0.048100,0.686000,0.807000,0.000000,0.065200,-3.324000,0.061300,0.630000,227476,1,1,183.970993,4
6jA8JUuPCGYjFcgw0AoM5T,"Me Niego","Me Niego",0.054300,0.777000,0.779000,0.000000,0.636000,-4.449000,0.097200,0.768000,221653,0,0,94.023003,4
6JjPBQfI2Y8nIjnm65X6Pw,"X - Remix","X (Remix)",0.056100,0.663000,0.696000,0.000038,0.077800,-4.957000,0.103000,0.738000,235747,9,0,180.113007,4
2XXMDz7SPZ4mSFN1PXfHUy,"Cuando Te Besé","Cuando Te Besé",0.307000,0.772000,0.732000,0.000005,0.106000,-3.713000,0.213000,0.295000,254383,9,0,100.047997,4
2a1o6ZejUi8U3wzzOtCOYw,"Danza Kuduro","Meet The Orphans",0.084600,0.400000,0.915000,0.000000,0.050300,-4.890000,0.280000,0.878000,198773,0,1,88.917000,3
1KSqYYJFyfTecXFk9M0prc,"Escápate Conmigo (feat. Ozuna)","Victory",0.025600,0.744000,0.859000,0.000063,0.088100,-3.166000,0.079500,0.787000,232787,11,1,91.976997,4
6De0lHrwBfPfrhorm9q1Xl,"Me Rehúso","Me Rehúso",0.023100,0.744000,0.804000,0.000000,0.049400,-6.327000,0.067700,0.426000,205715,1,1,104.822998,4
4ipnJyDU3Lq15qBAYNqlqK,"Mi Gente","Mi Gente",0.017900,0.774000,0.687000,0.000012,0.128000,-4.818000,0.058400,0.308000,189440,11,0,104.959000,4
2FrnTVSHjgnEylKGdHRUK1,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Diles",0.097100,0.805000,0.582000,0.000000,0.163000,-5.657000,0.062700,0.307000,279276,2,0,117.955002,4
3gu0fRSgFuc4FmrtIv0DnC,"Callao","Los Campeones del Pueblo ""The Big Leagues""",0.007300,0.730000,0.836000,0.000000,0.037100,-4.277000,0.040900,0.879000,219947,3,0,92.042999,4
0r9d60ZYPAlFHq8qnUtkXN,"Madura (feat. Bad Bunny)","Madura (feat. Bad Bunny)",0.138000,0.878000,0.555000,0.000001,0.151000,-7.639000,0.202000,0.751000,190909,1,0,88.028999,4
5AgTL2WmiCvoObA8fpncKs,"Despacito","Shut Up Lets Dance",0.216000,0.665000,0.779000,0.000000,0.107000,-5.153000,0.113000,0.839000,228200,2,1,88.862999,4
6KuqAtoeVzxAYOaMveLNpH,"Dura","Dura",0.183000,0.791000,0.848000,0.000000,0.409000,-3.456000,0.050600,0.828000,200480,1,1,95.000000,4
0VKkyBKCXyR99navhVRqcP,"La Player (Bandolera)","La Player (Bandolera)",0.160000,0.769000,0.838000,0.000000,0.093500,-5.238000,0.063300,0.602000,249609,2,1,93.996002,4
