id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
14msK75pk3pA33pzPVNtBF,"7 rings","7 rings",0.578000,0.725000,0.321000,0.000000,0.088400,-10.744000,0.323000,0.319000,178640,1,0,70.141998,4
3KkXRkHbMCARz0aVfEt68P,"Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",0.556000,0.760000,0.479000,0.000000,0.070300,-5.574000,0.046600,0.913000,158040,2,1,89.911003,4
6MWtB6iiXyIwun0YzU6DFP,"Wow.","Wow.",0.163000,0.833000,0.539000,0.000002,0.101000,-7.399000,0.178000,0.385000,149520,11,0,99.946999,4
2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD",0.005130,0.834000,0.730000,0.000000,0.124000,-3.714000,0.222000,0.446000,312820,8,1,155.007996,4
2JvzF1RMd7lE3KmFlsyZD8,"MIDDLE CHILD","MIDDLE CHILD",0.149000,0.837000,0.364000,0.000000,0.271000,-11.713000,0.276000,0.463000,213594,8,1,123.984001,4
2rPE9A1vEgShuZxxzR2tZH,"thank u, next","thank u, next",0.280000,0.724000,0.647000,0.000000,0.102000,-5.642000,0.065800,0.435000,207333,1,1,106.959999,4
5p7ujcrUXASCNwRaWNHR1C,"Without Me","Without Me",0.297000,0.752000,0.488000,0.000009,0.093600,-7.050000,0.070500,0.533000,201661,6,1,136.041000,4
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored","thank u, next",0.037800,0.726000,0.545000,0.000000,0.108000,-5.489000,0.102000,0.348000,190440,5,0,169.990997,4
1TEL6MlSSVLSdhOSddidlJ,"needy","thank u, next",0.787000,0.607000,0.314000,0.000003,0.201000,-8.026000,0.037200,0.169000,171573,7,0,86.989998,4
4uTvPEr01pjTbZgl7jcKBD,"NASA","thank u, next",0.401000,0.741000,0.460000,0.000000,0.248000,-6.933000,0.284000,0.560000,182000,6,1,75.004997,4
2hloaUoRonYssMuqLCBLTX,"bloodline","thank u, next",0.073800,0.765000,0.663000,0.000099,0.206000,-5.185000,0.088600,0.633000,216893,2,0,151.979004,4
5Il6Oe7lr5XM7A0cWbVQtr,"bad idea","thank u, next",0.024700,0.852000,0.588000,0.047700,0.116000,-5.350000,0.065100,0.568000,267107,1,1,138.024002,4
6Qs4SXO9dwPj5GKvVOv8Ki,"Dancing With A Stranger (with Normani)","Dancing With A Stranger (with Normani)",0.450000,0.741000,0.520000,0.000002,0.222000,-7.513000,0.065600,0.347000,171030,8,1,102.998001,4
3wFLWP0FcIqHK1wb1CPthQ,"fake smile","thank u, next",0.364000,0.522000,0.600000,0.000000,0.324000,-7.418000,0.384000,0.381000,208880,9,1,170.220001,4
2vdBo4ALPYbHRUPKgtE5iC,"ghostin","thank u, next",0.416000,0.452000,0.374000,0.000057,0.192000,-8.338000,0.027300,0.122000,271467,9,1,103.983002,4
0FZ4Dmg8jJJAPJnvBIzD9z,"ZEZE (feat. Travis Scott & Offset)","Dying To Live",0.052100,0.861000,0.603000,0.000000,0.092400,-5.788000,0.176000,0.504000,228760,8,0,98.042999,4
2IRZnDFmlqMuOrYOLnZZyc,"Going Bad (feat. Drake)","Championships",0.259000,0.889000,0.496000,0.000000,0.252000,-6.365000,0.090500,0.544000,180522,4,0,86.002998,4
