id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
1rqqCSm0Qe4I9rUvWncaom,"High Hopes","Pray For The Wicked",0.193000,0.579000,0.904000,0.000000,0.064000,-2.729000,0.061800,0.681000,190947,5,1,82.014000,4
4bPQs0PHn4xbipzdPfn6du,"I Write Sins Not Tragedies","A Fever You Can't Sweat Out",0.093800,0.567000,0.795000,0.000000,0.114000,-4.985000,0.134000,0.635000,187613,9,0,170.059998,4
1BECwm5qkaBwlbfo4kpYx8,"Death Of A Bachelor","Death Of A Bachelor",0.013700,0.462000,0.538000,0.000000,0.429000,-5.527000,0.059000,0.405000,203507,0,1,139.255997,4
23OXdR7YuUBVWh5hSnYJau,"Chlorine","Trench",0.073500,0.609000,0.674000,0.060000,0.345000,-7.388000,0.054800,0.315000,324467,10,0,90.009003,4
2Z8WuEywRWYTKe1NybPQEW,"Ride","Blurryface",0.008350,0.645000,0.713000,0.000000,0.113000,-5.355000,0.039300,0.566000,214507,6,1,74.988998,4
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down","From Under The Cork Tree",0.008980,0.499000,0.824000,0.000000,0.163000,-4.741000,0.079400,0.699000,229093,7,1,161.977005,4
76vMKwFtdDDCLcM6zXybjB,"Say Amen (Saturday Night)","Pray For The Wicked",0.167000,0.491000,0.867000,0.000000,0.458000,-2.313000,0.103000,0.602000,189187,6,0,167.964996,4
7yCPwWs66K8Ba5lFuU2bcx,"All The Small Things","Enema Of The State",0.012200,0.439000,0.891000,0.000000,0.547000,-4.764000,0.057000,0.695000,168000,0,1,148.598999,4
5HeKOKc4phmLn8e4I7EkzD,"My Blood","Trench",0.056300,0.749000,0.723000,0.022000,0.097700,-6.609000,0.043200,0.674000,229120,1,1,108.999001,4
04aAxqtGp5pv12UXAg4pkq,"Centuries","American Beauty/American Psycho",0.004000,0.385000,0.866000,0.000000,0.111000,-2.817000,0.069700,0.551000,228360,4,0,176.014008,4
6L89mwZXSOwYl76YXfX13s,"Basket Case","Dookie",0.002930,0.442000,0.943000,0.000009,0.091000,-3.205000,0.060200,0.781000,181533,3,1,85.064003,4
22oEJW6r2rMb9z4IntfyEa,"Hey Look Ma, I Made It","Pray For The Wicked",0.013700,0.577000,0.833000,0.000000,0.121000,-3.337000,0.069500,0.580000,169667,5,1,107.935997,4
3asFGFY3uLjMDmML1p0tYm,"Savior","Appeal To Reason",0.001640,0.549000,0.930000,0.000067,0.390000,-3.468000,0.048700,0.526000,242280,5,0,112.446999,4
1oTo3ijRbaDAtrjJrGAPSw,"I Miss You","blink-182",0.001360,0.659000,0.778000,0.000007,0.084100,-6.423000,0.037900,0.623000,227240,11,1,110.022003,4
3yZQk5PC52CCmT4ZaTIKvv,"This Is Gospel","Too Weird To Live, Too Rare To Die!",0.001550,0.572000,0.912000,0.000001,0.102000,-4.875000,0.070700,0.606000,187187,7,1,156.072998,4
1E1uGhNdBe6Dddbgs2KqtZ,"Jumpsuit","Trench",0.008490,0.620000,0.610000,0.162000,0.205000,-8.329000,0.037300,0.235000,238560,11,0,127.052002,4
6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",0.005110,0.546000,0.905000,0.000000,0.211000,-3.103000,0.067100,0.598000,177827,0,1,126.120003,4
5wQnmLuC1W7ATsArWACrgW,"Welcome to the Black Parade","The Black Parade",0.000289,0.217000,0.905000,0.000110,0.222000,-4.103000,0.075200,0.236000,311107,2,1,96.949997,4
2hnMS47jN0etwvFPzYk11f,"Santeria","Sublime",0.026800,0.682000,0.765000,0.000034,0.188000,-5.021000,0.039500,0.567000,182747,1,0,90.806999,4
6nTiIhLmQ3FWhvrGafw2zj,"American Idiot","American Idiot",0.000026,0.380000,0.988000,0.000079,0.368000,-2.042000,0.063900,0.769000,176346,1,1,186.113007,4
5SehvGGC53A7SZKCLXQcyt,"Nico And The Niners","Trench",0.069900,0.728000,0.602000,0.000007,0.318000,-7.748000,0.185000,0.328000,225040,9,0,140.080994,4
5JZcX7TTLx4l0xFIXJ3DBt,"What's My Age Again?","Enema Of The State",0.017000,0.403000,0.956000,0.000071,0.089300,-7.376000,0.073200,0.561000,148573,6,1,157.705994,4
7j31rVgGX9Q2blT92VBEA0,"Teenagers","The Black Parade",0.050600,0.463000,0.857000,0.000000,0.184000,-3.063000,0.063200,0.856000,161920,4,1,111.647003,4
2fh3bZ8jZhMxOcfESE9nQY,"Don't Threaten Me With A Good Time","Death Of A Bachelor",0.015400,0.559000,0.895000,0.000000,0.175000,-4.476000,0.083200,0.590000,213093,1,0,183.824997,4
5cbpoIu3YjoOwbBDGUEp3P,"Car Radio","Vessel",0.098000,0.766000,0.519000,0.000000,0.085500,-7.355000,0.036600,0.612000,267720,9,0,129.972000,4
3px2rAPu74ltbkf9eZsZ8h,"Emperor's New Clothes","Death Of A Bachelor",0.003020,0.562000,0.904000,0.000000,0.043300,-4.947000,0.080700,0.651000,158667,1,1,94.481003,4
6ORqU0bHbVCRjXm9AjyHyZ,"Good Riddance (Time of Your Life)","Nimrod",0.183000,0.475000,0.432000,0.000000,0.161000,-7.844000,0.030200,0.648000,153467,7,1,94.605003,4
0wdV94AXGRphrbkDWLNzVC,"Roaring 20s","Pray For The Wicked",0.046700,0.271000,0.948000,0.000000,0.163000,-2.207000,0.263000,0.515000,186600,1,1,83.190002,4
1Dr1fXbc2IxaK1Mu8P8Khz,"When I Come Around","Dookie",0.017500,0.531000,0.909000,0.000000,0.231000,-4.236000,0.034000,0.814000,178000,11,1,97.545998,4
6ZOBP3NvffbU4SZcrnt1k6,"Kryptonite","The Better Life",0.006640,0.545000,0.865000,0.000011,0.168000,-5.708000,0.028600,0.543000,233933,11,0,99.010002,4
5GorCbAP4aL0EJ16frG2hd,"Boulevard of Broken Dreams","Greatest Hits: God's Favorite Band",0.005520,0.496000,0.682000,0.000029,0.058900,-4.095000,0.029400,0.474000,262333,8,1,167.059998,4
3Zwu2K0Qa5sT6teCCHPShP,"Thnks fr th Mmrs","Infinity On High",0.005390,0.459000,0.884000,0.000000,0.107000,-5.005000,0.064400,0.615000,203507,10,0,154.867996,4
0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance","From Under The Cork Tree",0.004940,0.616000,0.961000,0.000000,0.078000,-3.144000,0.139000,0.523000,180267,11,0,114.491997,4
0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II",0.031900,0.646000,0.795000,0.000000,0.267000,-3.293000,0.097600,0.796000,210960,9,1,89.989998,4
3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes",0.029400,0.591000,0.649000,0.000000,0.133000,-6.720000,0.041700,0.489000,228347,3,1,90.001999,4
3ZffCQKLFLUvYM59XKLbVm,"Wake Me up When September Ends","American Idiot",0.023000,0.546000,0.814000,0.000000,0.097200,-5.146000,0.031400,0.146000,285653,7,1,104.980003,4
3bnVBN67NBEzedqQuWrpP4,"Tear In My Heart","Blurryface",0.018900,0.655000,0.632000,0.000000,0.072200,-4.802000,0.048900,0.447000,188493,2,1,120.112999,4
2fmCA13dwQQOGBIbIOWRiJ,"LA Devotee","Death Of A Bachelor",0.000430,0.490000,0.848000,0.000008,0.066500,-5.050000,0.064500,0.698000,196520,9,1,175.998001,4
6od5hFv9IT5JHc7NEF9HRv,"Victorious","Death Of A Bachelor",0.002050,0.570000,0.865000,0.000000,0.404000,-4.518000,0.047200,0.691000,178600,8,1,110.010002,4
50Hv5NZIM0puIUoBttjpfb,"King Of The Clouds","Pray For The Wicked",0.237000,0.285000,0.922000,0.000000,0.159000,-1.932000,0.247000,0.472000,160747,2,0,198.063004,3
3BDxv4ORzOpXAsa4lWVl4i,"(Fuck A) Silver Lining","Pray For The Wicked",0.027200,0.577000,0.939000,0.000000,0.240000,-1.352000,0.108000,0.714000,168613,1,0,105.092003,4
4EchqUKQ3qAQuRNKmeIpnf,"The Kids Aren't Alright","Americana",0.007050,0.529000,0.943000,0.000032,0.069600,-4.192000,0.034000,0.788000,180160,1,1,99.603996,4
3Te8uLyit6X3ncNW8Fp3K2,"Immortals","American Beauty/American Psycho",0.001390,0.613000,0.874000,0.000002,0.656000,-3.594000,0.069700,0.543000,189387,2,1,108.038002,4
3Pzh926pXggbMe2ZpXyMV7,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)",0.043800,0.634000,0.849000,0.000000,0.363000,-7.075000,0.105000,0.919000,175493,0,1,156.003998,4
36tghkPg1AO4HsAzo6YpPp,"House Of Gold","Vessel",0.445000,0.680000,0.693000,0.000000,0.208000,-7.234000,0.043500,0.851000,163880,0,1,114.947998,4
7s0lDK7y3XLmI7tcsRAbW0,"My Songs Know What You Did In The Dark (Light Em Up)","Save Rock And Roll",0.027100,0.558000,0.924000,0.000003,0.537000,-4.341000,0.064000,0.567000,186827,9,0,151.990005,4
55PZSFcKQxXH5BOOcDA6yI,"The Greatest Show","The Greatest Show",0.005460,0.546000,0.839000,0.000000,0.382000,-5.365000,0.078400,0.491000,174307,6,0,77.009003,4
46Kcradxrva9Dny4lHU1b3,"Miss Jackson (feat. LOLO)","Too Weird To Live, Too Rare To Die!",0.003940,0.642000,0.873000,0.000000,0.175000,-5.821000,0.055100,0.662000,192053,2,1,82.001999,4
0Ti2dlF2xLjXblvdU5fCxM,"Miss Murder","DECEMBERUNDERGROUND",0.000213,0.309000,0.875000,0.001680,0.113000,-4.490000,0.048800,0.725000,206587,1,1,143.526001,4
64yrDBpcdwEdNY9loyEGbX,"21 Guns","21st Century Breakdown",0.051800,0.268000,0.742000,0.000000,0.626000,-4.939000,0.035500,0.416000,321093,5,1,159.779007,4
6SpLc7EXZIPpy0sVko0aoU,"Misery Business","RIOT!",0.002720,0.517000,0.906000,0.000009,0.113000,-3.677000,0.073500,0.731000,211520,1,1,172.977005,4
3B4q6KbHbGV51HO3GznBFF,"What I Got","Sublime",0.008770,0.804000,0.696000,0.000985,0.314000,-7.470000,0.089900,0.657000,170907,7,1,95.721001,4
7lRlq939cDG4SzWOF4VAnd,"I'm Not Okay (I Promise)","Three Cheers For Sweet Revenge",0.006020,0.210000,0.940000,0.000000,0.269000,-3.427000,0.123000,0.255000,186480,9,1,179.722000,4
3mcG2NI5G5vhrQtRda1YnA,"The Middle","Bleed American (Deluxe Edition)",0.042400,0.629000,0.897000,0.000000,0.263000,-3.401000,0.048300,0.930000,168253,2,1,161.944000,4
6PFoEnjp0PAe5siGswjH9i,"Dancing's Not A Crime","Pray For The Wicked",0.037500,0.526000,0.891000,0.000000,0.375000,-1.549000,0.048200,0.804000,219467,6,1,94.095001,4
1fJFuvU2ldmeAm5nFIHcPP,"First Date","Take Off Your Pants And Jacket",0.000715,0.579000,0.928000,0.000000,0.180000,-4.344000,0.041100,0.882000,171533,0,1,95.594002,4
4KacUpvbA3Mfo05gttTjhN,"Fat Lip","All Killer, No Filler",0.000618,0.574000,0.911000,0.000000,0.076900,-5.176000,0.071500,0.573000,178267,9,1,98.074997,4
5trCWbYtza0QUxdmF9HAPX,"One Of The Drunks","Pray For The Wicked",0.042600,0.424000,0.892000,0.000000,0.711000,-3.780000,0.193000,0.762000,198947,8,0,174.007996,4
2i0AUcEnsDm3dsqLrFWUCq,"Tonight Tonight","Whatever",0.076400,0.686000,0.783000,0.000000,0.163000,-4.977000,0.119000,0.814000,200467,4,1,99.977997,4
7i9763l5SSfOnqZ35VOcfy,"Heavydirtysoul","Blurryface",0.003970,0.613000,0.873000,0.001110,0.367000,-6.376000,0.044900,0.392000,234813,7,0,129.988998,4
6e13443Ve7RGcAUScTgYtl,"The Last Of The Real Ones","MANIA",0.005990,0.576000,0.872000,0.000000,0.188000,-5.293000,0.047100,0.559000,230400,8,1,115.042000,4
2wEjPgOCEczmjlvq60LyQi,"Girls / Girls / Boys","Too Weird To Live, Too Rare To Die!",0.002160,0.606000,0.924000,0.000003,0.240000,-4.531000,0.034900,0.965000,206840,11,0,144.998001,4
5PUawWFG1oIS2NwEcyHaCr,"Uma Thurman","American Beauty/American Psycho",0.119000,0.623000,0.956000,0.000227,0.617000,-2.608000,0.075300,0.739000,211573,4,0,149.957993,4
6TzJLISIitIzn1WtjDY0Op,"Hallelujah","Death Of A Bachelor",0.011000,0.578000,0.886000,0.000000,0.143000,-4.348000,0.063300,0.615000,180627,11,1,80.008003,4
33iv3wnGMrrDugd7GBso1z,"My Own Worst Enemy","A Place In The Sun",0.001290,0.494000,0.946000,0.000000,0.398000,-2.757000,0.063700,0.741000,169027,4,1,103.407997,4
7daBwTiPNOVgoMUG4SICgh,"Pet Cheetah","Trench",0.061500,0.653000,0.684000,0.000387,0.270000,-7.052000,0.199000,0.355000,198360,7,0,110.049004,4
