id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
7e4KQkp5ZR1gXCAalRjX6B,"Nights Like This (feat. Ty Dolla $ign)","Nights Like This (feat. Ty Dolla $ign)",0.367000,0.610000,0.725000,0.000000,0.154000,-5.131000,0.150000,0.291000,201788,8,1,146.162994,4
6CTWathupIiDs7U4InHnDA,"Trip","Ella Mai",0.225000,0.477000,0.610000,0.000000,0.107000,-5.628000,0.144000,0.358000,213993,11,0,79.882004,4
0rKtyWc8bvkriBthvHKY8d,"SLOW DANCING IN THE DARK","BALLADS 1",0.544000,0.515000,0.479000,0.005980,0.191000,-7.458000,0.026100,0.284000,209274,3,1,88.963997,4
5JEx7HbmvHQQswJCsoo9rA,"Close To Me (with Diplo) (feat. Swae Lee)","Close To Me (feat. Swae Lee)",0.096900,0.574000,0.758000,0.000000,0.395000,-5.029000,0.062100,0.492000,182623,1,0,144.110992,4
4OBZT9EnhYIV17t4pGw7ig,"Best Part (feat. Daniel Caesar)","H.E.R.",0.795000,0.473000,0.371000,0.000000,0.109000,-10.219000,0.040500,0.413000,209400,4,0,75.208000,4
1RMJOxR6GRPsBHL8qeC2ux,"Best Part (feat. H.E.R.)","Freudian",0.808000,0.524000,0.364000,0.000000,0.100000,-10.209000,0.036700,0.436000,209831,7,1,75.239998,4
4DyBx5MYoq8RsU33cEAIxT,"Twerk (feat. Cardi B)","Girl Code",0.122000,0.788000,0.841000,0.001100,0.166000,-4.006000,0.143000,0.493000,166476,4,0,190.089005,4
6lzLjIOyWTyTJvk0jraYee,"Could've Been (feat. Bryson Tiller)","I Used To Know Her: The Prelude",0.640000,0.545000,0.330000,0.000007,0.220000,-11.719000,0.164000,0.399000,248467,1,0,103.553001,4
1QC6VpD6q6TJrl30969QM9,"Girls Need Love","Last Day Of Summer",0.558000,0.645000,0.418000,0.000300,0.562000,-10.065000,0.290000,0.123000,140760,6,0,96.962997,4
0At2qAoaVjIwWNAqrscXli,"Boo'd Up","READY",0.086200,0.561000,0.779000,0.000000,0.078000,-5.107000,0.053100,0.235000,256064,10,0,81.964996,4
7uiBocndm12aKbsdnQ3Scx,"Undecided","Undecided",0.172000,0.441000,0.527000,0.000000,0.233000,-5.318000,0.096600,0.589000,187298,3,1,96.370003,4
7zFXmv6vqI4qOt4yGf3jYZ,"Get You (feat. Kali Uchis)","Freudian",0.422000,0.658000,0.294000,0.000052,0.074900,-8.533000,0.032100,0.358000,278180,4,0,74.038002,4
1rfofaqEpACxVEHIZBJe6W,"Havana","Camila",0.184000,0.765000,0.523000,0.000036,0.132000,-4.333000,0.030000,0.394000,217307,2,1,104.987999,4
1VGzxJnVQND7Cg5H5wGj14,"YEAH RIGHT","BALLADS 1",0.619000,0.672000,0.588000,0.241000,0.099200,-9.573000,0.133000,0.204000,174358,1,1,169.033005,4
5tAa8Uaqr4VvA3693mbIhU,"Ruin My Life","Ruin My Life",0.423000,0.665000,0.699000,0.000000,0.096900,-5.265000,0.057800,0.585000,190932,11,1,124.896004,4
51w9Jbat1pLeWINGCpnQUR,"TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix","TAlk tO Me (with Rich The Kid feat. Lil Wayne) [Remix]",0.022600,0.698000,0.660000,0.000000,0.062200,-7.883000,0.052000,0.451000,248521,0,1,159.949005,4
5EYi2rH4LYs6M21ZLOyQTx,"Loving Is Easy","Loving Is Easy",0.217000,0.756000,0.609000,0.004740,0.096000,-7.927000,0.054400,0.537000,155720,3,1,117.023003,4
4lFfMRH0YH4pW5gczTDbNC,"Medicine","Medicine",0.240000,0.741000,0.370000,0.000000,0.118000,-8.437000,0.324000,0.130000,219136,8,0,116.059998,4
43PuMrRfbyyuz4QpZ3oAwN,"Exchange","T R A P S O U L",0.108000,0.530000,0.433000,0.000000,0.135000,-10.598000,0.185000,0.274000,194613,6,1,160.139999,4
23c9gmiiv7RCu7twft0Mym,"Who Hurt You?","Who Hurt You?",0.586000,0.649000,0.493000,0.000167,0.066700,-7.645000,0.110000,0.277000,231964,11,0,104.542000,4
4EpZ4eYuZOwPSSwyqpdHnJ,"Sunflower","Sunflower",0.646000,0.384000,0.765000,0.003520,0.522000,-4.463000,0.057900,0.567000,252231,6,1,129.903000,4
7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy",0.141000,0.678000,0.588000,0.000006,0.137000,-7.015000,0.276000,0.486000,230453,7,1,186.005005,4
3Du2K5dLzmduCNp6uwuaL0,"Sorry Not Sorry","Tell Me You Love Me",0.022300,0.702000,0.635000,0.000000,0.283000,-6.917000,0.265000,0.873000,203760,11,0,144.003998,4
3WefHNGtjexZvi66ZEx9u4,"Hurts Like Hell (feat. Offset)","Hurts Like Hell (feat. Offset)",0.185000,0.704000,0.560000,0.000000,0.094800,-6.791000,0.179000,0.609000,207109,1,0,75.002998,4
47Bg6IrMed1GPbxRgwH2aC,"Best Friend","Best Friend",0.395000,0.575000,0.714000,0.000000,0.115000,-5.247000,0.059600,0.320000,262231,6,1,144.981995,4
0STK94RxUulYqWzwFlyAb5,"Sober","Sober",0.798000,0.397000,0.303000,0.000004,0.082400,-10.413000,0.110000,0.170000,197893,1,1,170.220001,3
39oeKRgsLeynDIbWuXyA47,"CAN'T GET OVER YOU (feat. Clams Casino)","BALLADS 1",0.684000,0.900000,0.316000,0.077100,0.085300,-8.797000,0.332000,0.844000,107077,9,1,129.914001,4
0q75NwOoFiARAVp4EXU4Bs,"Love Galore (feat. Travis Scott)","Ctrl",0.111000,0.795000,0.594000,0.000000,0.162000,-6.200000,0.074700,0.409000,275080,0,1,135.001999,4
4at3d5QWnlibMVN75ECDrp,"Pretty Little Fears (feat. J. Cole)","East Atlanta Love Letter",0.711000,0.611000,0.466000,0.000264,0.084700,-11.361000,0.372000,0.223000,240342,9,1,192.080002,4
1DMEzmAoQIikcL52psptQL,"TEST DRIVE","BALLADS 1",0.710000,0.646000,0.648000,0.003160,0.108000,-8.602000,0.037200,0.466000,179423,3,1,75.003998,4
4cQrSREMqBSvJ8ZzBZjVb8,"Mile High (feat. Travis Scott & Metro Boomin)","Assume Form",0.403000,0.754000,0.370000,0.000062,0.107000,-9.854000,0.120000,0.228000,193600,6,0,114.941002,4
3pXF1nA74528Edde4of9CC,"Don't","T R A P S O U L",0.222000,0.765000,0.356000,0.000000,0.096300,-5.556000,0.196000,0.190000,198293,11,0,97.000999,4
3ibKnFDaa3GhpPGlOUj7ff,"Let Me Love You","Let Me Love You",0.235000,0.656000,0.578000,0.000000,0.118000,-8.970000,0.092200,0.556000,256733,7,0,94.514000,4
6j97zG4DDrh3oUa6rZbFOs,"FeRRis WhEEL (feat. Trippie Redd)","LoVE me NOw",0.083500,0.807000,0.602000,0.000000,0.151000,-5.005000,0.274000,0.252000,151649,11,1,95.030998,4
5WoaF1B5XIEnWfmb5NZikf,"Sky Walker (feat. Travis Scott)","War & Leisure",0.173000,0.674000,0.506000,0.000000,0.086600,-10.532000,0.043400,0.183000,259333,6,1,145.964996,4
0prNGof3XqfTvNDxHonvdK,"Scars To Your Beautiful","Know-It-All (Deluxe)",0.028500,0.573000,0.739000,0.000000,0.111000,-5.740000,0.129000,0.451000,230227,0,1,97.084999,4
01jIO8SJFnpSiNLH1JaBZ5,"You","4275 (Bonus Version)",0.413000,0.735000,0.453000,0.000000,0.104000,-8.264000,0.060200,0.335000,217387,8,0,115.001999,4
3qmm9AdG0TnShv0drgXNIQ,"Karma","Karma",0.172000,0.592000,0.571000,0.000000,0.106000,-7.132000,0.174000,0.424000,176076,1,1,104.949997,4
7vu0JkJh0ldukEYbTVcqd0,"Issues","Nervous System",0.401000,0.728000,0.415000,0.000000,0.061600,-6.852000,0.063900,0.455000,176320,8,1,114.144997,4
1boXOL0ua7N2iCOUVI1p9F,"Japanese Denim","Get You - Single",0.090500,0.707000,0.238000,0.000002,0.084200,-8.818000,0.037900,0.345000,270847,3,1,124.155998,3
5QTdOvIF2ehBMZpSIIGzIo,"Honey","Honey",0.772000,0.606000,0.240000,0.000000,0.081900,-7.102000,0.036900,0.526000,199210,3,1,96.792000,4
2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney",0.207000,0.709000,0.824000,0.000307,0.088800,-8.824000,0.045300,0.867000,291293,1,1,118.814003,4
77UjLW8j5UAGAGVGhR5oUK,"Pray For Me (with Kendrick Lamar)","Black Panther The Album Music From And Inspired By",0.076200,0.735000,0.677000,0.000022,0.111000,-4.979000,0.093000,0.188000,211440,2,1,100.584000,4
0CALOqrkXAE7WB2nyIATLk,"Face My Fears - English Version","Face My Fears",0.010500,0.628000,0.751000,0.000000,0.119000,-7.041000,0.099100,0.440000,222013,1,0,159.964996,3
01JPQ87UHeGysPVwTqMJHK,"She Don't (feat. Ty Dolla $Ign)","Time",0.268000,0.650000,0.478000,0.000000,0.177000,-7.512000,0.050000,0.147000,264098,7,0,99.978996,4
7fBv7CLKzipRk6EC6TWHOB,"The Hills","Beauty Behind The Madness",0.067100,0.580000,0.565000,0.000000,0.135000,-7.065000,0.048800,0.138000,242253,0,0,112.986000,4
4MPTj8lMMvxLwT3EwuXFop,"Call Out My Name","My Dear Melancholy,",0.211000,0.449000,0.599000,0.000000,0.327000,-4.892000,0.036900,0.165000,228373,1,1,134.143997,3
