id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
1rqqCSm0Qe4I9rUvWncaom,"High Hopes","Pray For The Wicked",0.193000,0.579000,0.904000,0.000000,0.064000,-2.729000,0.061800,0.681000,190947,5,1,82.014000,4
2FY7b99s15jUprqC0M5NCT,"Natural","Origins (Deluxe)",0.217000,0.704000,0.611000,0.000000,0.081200,-6.112000,0.040900,0.220000,189467,2,1,100.000000,4
7tFiyTwD0nx5a1eklYtX2J,"Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)",0.254000,0.397000,0.396000,0.000000,0.268000,-9.910000,0.050000,0.227000,354320,3,1,142.912994,4
1zB4vmk8tFRmM9UULNzbLB,"Thunder","Evolve",0.006710,0.605000,0.822000,0.134000,0.147000,-4.833000,0.043800,0.288000,187147,0,1,167.996994,4
0pqnGHJpmpxLKifKRmU6WP,"Believer","Evolve",0.062200,0.776000,0.780000,0.000000,0.081000,-4.374000,0.128000,0.666000,204347,10,0,124.948997,4
2RSHsoi04658QL5xgQVov3,"Bad Liar","Origins (Deluxe)",0.072200,0.383000,0.637000,0.000000,0.368000,-6.993000,0.070300,0.082700,260773,3,1,177.912994,4
7hQJA50XrCWABAu5v6QZ4i,"Don't Stop Me Now - Remastered","Jazz (Deluxe Remastered Version)",0.048800,0.559000,0.855000,0.000681,0.680000,-5.077000,0.186000,0.605000,209413,5,1,156.311005,4
7oK9VyNzrYvRFo7nQEYkWN,"Mr. Brightside","Hot Fuss",0.001080,0.330000,0.936000,0.000000,0.092600,-3.660000,0.091700,0.234000,222587,1,1,148.112000,4
2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV",0.257000,0.671000,0.373000,0.000080,0.048100,-18.063999,0.032300,0.732000,295893,9,1,92.717003,4
6Qn5zhYkTa37e91HC1D7lb,"Whatever It Takes","Evolve",0.036200,0.672000,0.655000,0.000000,0.117000,-5.021000,0.031100,0.556000,201240,10,0,134.945007,4
3N2AIfVOq6NiTcWHIP4Oco,"Drunk Me","Mitchell Tenpenny - EP",0.201000,0.386000,0.799000,0.000000,0.103000,-3.789000,0.055500,0.391000,213024,2,1,86.333000,4
11IzgLRXV7Cgek3tEgGgjw,"Under Pressure - Remastered","Hot Space (Deluxe Remastered Version)",0.444000,0.667000,0.705000,0.000000,0.107000,-7.657000,0.048800,0.506000,248440,2,1,113.807999,4
6cFZ4PLC19taNlpl9pbGMf,"Somebody To Love - Remastered 2011","A Day At The Races (Deluxe Remastered Version)",0.172000,0.492000,0.676000,0.000000,0.239000,-6.861000,0.051600,0.412000,296493,8,1,110.232002,3
6XcfKZvJio9Z0fQy11GnNX,"broken","finding it hard to smile",0.001750,0.666000,0.728000,0.000004,0.042900,-5.808000,0.041900,0.510000,204878,7,1,122.996002,4
7i6r9KotUPQg3ozKKgEPIN,"Seven Nation Army","Elephant",0.008170,0.737000,0.463000,0.447000,0.255000,-7.828000,0.079200,0.324000,231733,0,1,123.880997,4
3CRDbSIZ4r5MsZ0YwxuEkn,"Stressed Out","Blurryface",0.046200,0.734000,0.637000,0.000023,0.060200,-5.677000,0.141000,0.648000,202333,4,0,169.977005,4
4bPQs0PHn4xbipzdPfn6du,"I Write Sins Not Tragedies","A Fever You Can't Sweat Out",0.093800,0.567000,0.795000,0.000000,0.114000,-4.985000,0.134000,0.635000,187613,9,0,170.059998,4
2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue",0.652000,0.388000,0.338000,0.000004,0.248000,-10.054000,0.032800,0.477000,303373,10,1,177.783997,4
40riOy7x9W7GXjyGp4pjAv,"Hotel California - Eagles 2013 Remaster","Hotel California (Remastered)",0.005740,0.579000,0.508000,0.000494,0.057500,-9.484000,0.027000,0.609000,391376,2,1,147.125000,4
3LlAyCYU26dvFZBDUIMb7a,"Demons","Night Visions",0.190000,0.505000,0.710000,0.000250,0.329000,-3.015000,0.032100,0.428000,175200,3,1,89.938004,4
6i0V12jOa3mr6uu4WYhUBr,"Heathens","Heathens",0.084100,0.732000,0.396000,0.000036,0.105000,-9.348000,0.028600,0.548000,195920,4,0,90.024002,4
7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches",0.145000,0.733000,0.710000,0.115000,0.095600,-5.849000,0.029200,0.965000,239600,5,0,127.974998,4
54flyrjcdnQdco7300avMJ,"We Will Rock You - Remastered","News Of The World (Deluxe Remastered Version)",0.688000,0.692000,0.488000,0.000000,0.400000,-7.282000,0.104000,0.510000,122067,11,0,81.400002,4
7e89621JPkKaeDSTQ3avtg,"Sweet Home Alabama","Second Helping",0.181000,0.596000,0.605000,0.000331,0.086300,-12.145000,0.025500,0.886000,283800,7,1,97.797997,4
2zYzyRzz6pRmhPzyfMEC8s,"Highway to Hell","Highway to Hell",0.059100,0.573000,0.913000,0.001730,0.156000,-4.793000,0.132000,0.422000,208400,6,0,115.714996,4
5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac",0.883000,0.414000,0.161000,0.000223,0.117000,-22.320000,0.031800,0.423000,199493,7,0,159.375000,4
0j7pdNXDzEVQST5Zcoh5xo,"Burn the House Down","The Click (Deluxe Edition)",0.036400,0.454000,0.660000,0.000000,0.181000,-4.357000,0.168000,0.568000,212689,0,1,184.352997,4
08mG3Y1vljYA6bvDt4Wqkj,"Back In Black","Back In Black",0.011000,0.310000,0.700000,0.009650,0.082800,-5.678000,0.047000,0.763000,255493,9,1,188.386002,4
0ofHAoxe9vBkTCp2UQIavz,"Dreams - Dreams (2004 Remaster)","Rumours (Super Deluxe)",0.064400,0.828000,0.492000,0.004280,0.128000,-9.744000,0.027600,0.789000,257800,0,1,120.151001,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Honky Chateau",0.386000,0.602000,0.522000,0.000014,0.094100,-9.031000,0.028500,0.360000,281613,10,1,136.636993,4
3cfOd4CMv2snFaKAnMdnvK,"All Star","Astro Lounge",0.031900,0.731000,0.861000,0.000000,0.082900,-5.881000,0.032300,0.780000,200373,11,1,104.033997,4
4BP3uh0hFLFRb5cjsgLqDh,"Fortunate Son","Willy And The Poor Boys (40th Anniversary Edition)",0.201000,0.640000,0.663000,0.008060,0.152000,-7.516000,0.037400,0.663000,140773,0,1,132.770004,4
57bgtoPSgt236HzfBOd8kj,"Thunderstruck","The Razors Edge",0.000147,0.501000,0.889000,0.011400,0.217000,-5.175000,0.036400,0.257000,292880,4,1,133.518997,4
7lGKEWMXVWWTt3X71Bv44I,"Unsteady","VHS",0.178000,0.389000,0.665000,0.000732,0.116000,-6.169000,0.064400,0.199000,193547,0,1,117.055000,4
3bH4HzoZZFq8UpZmI2AMgV,"New Light","New Light",0.325000,0.828000,0.689000,0.038400,0.080800,-7.878000,0.032600,0.853000,216015,7,1,123.931000,4
4MhTFsyqIJnjsOweVcU8ug,"Sweet Child O' Mine","Appetite For Destruction",0.141000,0.449000,0.901000,0.067500,0.128000,-7.711000,0.052600,0.696000,356400,6,1,125.148003,4
2TVxnKdb3tqe1nhQWwwZCO,"Tiny Dancer","Madman Across The Water",0.382000,0.414000,0.428000,0.000243,0.148000,-11.097000,0.027800,0.282000,377093,0,1,145.074997,4
1BECwm5qkaBwlbfo4kpYx8,"Death Of A Bachelor","Death Of A Bachelor",0.013700,0.462000,0.538000,0.000000,0.429000,-5.527000,0.059000,0.405000,203507,0,1,139.255997,4
4G8gkOterJn0Ywt6uhqbhp,"Radioactive","Night Visions",0.106000,0.448000,0.784000,0.000108,0.668000,-3.686000,0.062700,0.236000,186813,9,1,136.244995,4
