cluster,id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
-1,00vYs0qZA40Z8AAaN7xmMO,Manic Monday,Different Light (Expanded Edition),0.294,0.685,0.594,4E-06,0.358,-10.906,0.0289,0.853,184160,2,1,121.761002,4
-1,03D9dvJvM8hvoZ90babytA,Surreal,Surreal,0.236,0.301,0.654,0,0.128,-5.892,0.237,0.203,238652,0,1,177.940994,4
-1,03EyMyy76ZYLUh3lvGrNgE,First Steps,Celeste (Original Soundtrack),0.379,0.546,0.635,0.0579,0.158,-7.874,0.0259,0.0884,218708,0,1,90.011002,4
-1,04OcY1Z8IYeyTg5NJCL5C5,Warmer In The Winter,Warmer In The Winter,0.457,0.614,0.44,0,0.0918,-6.376,0.0302,0.471,174040,0,1,135.917007,4
-1,05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,0.944,238733,10,1,109.902,4
-1,06BRd83MC31o8vzZNwH0WP,The Dry Cleaner From Des Moines,Mingus,0.489,0.728,0.714,1.1E-05,0.0912,-7.918,0.152,0.912,201973,10,1,89.736,4
-1,08Df9uxCLSZoAb0mqob7u5,La de Da de Da de Da de Day Oh,La de Da de Da de Da de Day Oh,0.0915,0.762,0.494,4.2E-05,0.0933,-10.374,0.0339,0.75,190673,7,1,104.014999,4
-1,08OTqB3xjsLa5EZb9Fu2Lw,Hot Blur,Indian Summer,0.0249,0.683,0.824,0.627,0.0533,-8.569,0.222,0.918,201049,1,0,154.007996,4
-1,09b4z1eaxWhJ8D1iVWbX4A,Floors (feat. King Sadboy),Where Are My Friends?,0.513,0.613,0.857,0.00105,0.268,-7.003,0.0476,0.32,210341,2,1,131.962006,4
-1,0aY3XFNbMcbCMDxc2G3tZ4,Bounce Is Back,Prom King,0.0167,0.724,0.678,0.562,0.0676,-7.778,0.0543,0.166,210585,8,1,119.988998,4
-1,0B3LaidsxjnBTUlKgKQQe5,Sweatshirt,Sweatshirt,0.321,0.667,0.492,0,0.0744,-8.612,0.03,0.796,171250,8,1,95.975998,4
-1,0BB9eUBBaaX6GALSYNcEp7,You Spin Me Round (Like a Record),Youthquake,0.006,0.554,0.851,0.0242,0.405,-10.526,0.0334,0.96,196800,6,0,128.102997,4
-1,0BCPKOYdS2jbQ8iyB56Zns,Clocks,A Rush Of Blood To The Head,0.599,0.577,0.749,0.0112,0.183,-7.215,0.0279,0.261,307880,5,0,130.968994,4
-1,0BgKUe4GEXNgxLfGwpNMYV,I Love Rock n Roll,Rock Anthems,0.573,0.607,0.417,0.00344,0.146,-10.975,0.21,0.888,171200,9,1,185.910004,4
-1,0BJTbkmrB2Y4E9M8qVzbYZ,Feel It All Around,Life Of Leisure,0.000105,0.34,0.737,0.762,0.0699,-4.681,0.0582,0.499,192080,8,1,172.022003,4
-1,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Merry Christmas,0.164,0.335,0.625,0,0.0708,-7.462,0.0386,0.346,241107,7,1,150.276993,4
-1,0CsTO3DUIc8778bBezpFyX,Lisztomania,Lisztomania,0.299,0.69,0.901,0,0.261,-1.741,0.0613,0.81,184660,0,1,97.551003,4
-1,0CyRloqqjpeKEAd3cO6J6z,We're Not Just Friends,We're Not Just Friends,0.502,0.655,0.653,0.75,0.0781,-7.488,0.0278,0.732,187820,4,1,114.995003,4
-1,0d28khcov6AiegSCpG5TuT,Feel Good Inc,Demon Days,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,0.772,222640,6,1,138.559006,4
-1,0DtWgJmK3sHIBK2o8gIHtb,White Gloves,The Universe Smiles Upon You,0.707,0.635,0.3,0.829,0.574,-13.957,0.0285,0.772,218307,2,0,91.452003,4
-1,0ezxVlILGg3XiTJONE7PEn,Christmas Eve - Recorded at Spotify Studios NYC,Spotify Singles - Holiday,0.0326,0.537,0.834,0,0.416,-8.76,0.083,0.353,176425,5,1,125.992996,4
-1,0f1JMaMY0G3HLmpOwb1K8n,"Go by Richard, Not by Dick",Organ Freeman,0.0259,0.496,0.707,0.776,0.06,-6.882,0.0842,0.634,302707,7,1,123.568001,5
-1,0i68Yl4gSwpxtMsYPXvsZE,Glassworks: IV. Rubric,Glassworks - Expanded Edition,0.701,0.542,0.566,0.0113,0.172,-11.721,0.0293,0.754,364573,3,1,94.600998,4
-1,0IxmVYpLLaxsvOnphk1tJU,Valium,Hibou,0.0181,0.512,0.962,0.659,0.118,-4.856,0.0988,0.362,216693,5,1,127.975998,4
-1,0JcjupySdUvwYNV7DDkbwU,Rango II,Thrill of the Arts,0.705,0.761,0.252,0.926,0.199,-11.605,0.0452,0.44,251367,0,1,76.346001,4
-1,0KBvapFwuz8gPKu6Gw23WN,Dream A Little Dream Of Me,Ella: The Legendary Decca Recordings,0.916,0.491,0.154,0,0.163,-13.706,0.0839,0.36,187693,0,1,95.261002,3
-1,0kg7K25yjr65OBZyMSLaQm,Margot,Tides End,0.000242,0.554,0.838,0.285,0.129,-5.548,0.03,0.927,217040,4,1,151.007996,4
-1,0LlKaJ4as8Prg4jg5tJpQJ,Bicentennial,The Fearless Flyers,0.064,0.478,0.772,0.43,0.132,-8.779,0.0893,0.789,186746,7,1,168.850006,4
-1,0luALYlvY9yt0T8YmevkcL,The Mountain Will Fall,The Mountain Will Fall,0.000445,0.259,0.486,0.744,0.701,-7.358,0.0391,0.035,276598,1,1,136.076004,4
-1,0lw82LhmPXOzflTyvPqdj0,Godspeed,Godspeed,0.863,0.728,0.505,0.0743,0.241,-7.575,0.507,0.607,112363,7,1,129.813004,4
-1,0mkfxNKr0w5aVBU237RAwf,Disco Ulysses (Instrumental),Hill Climber,0.0422,0.74,0.707,0.888,0.0909,-10.464,0.0539,0.969,231085,8,0,133.714996,4
-1,0oWO6fBIJYr9YSGtZ0pS4v,Roses,Roses,0.00341,0.427,0.903,0.744,0.112,-4.935,0.0378,0.166,220987,11,0,138.544998,4
-1,0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Plastic Beach,1.5E-05,0.689,0.739,0.509,0.064,-5.81,0.026,0.578,233867,2,1,120.422997,4
-1,0qxtQ8rf3W1nId3D2r0xH4,"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",The Lion King,0.294,0.625,0.52,6E-05,0.0951,-14.213,0.0586,0.902,170880,6,1,98.819,4
-1,0RUXHlYhA057fCOe2vqIqu,Ships In The Night,Young Love,0.111,0.448,0.885,4E-06,0.0476,-3.755,0.0562,0.134,255893,9,1,178.151001,4
-1,0t0LBpsJne6FlpnUF0l89S,Underneath The Christmas Lights,Everyday Is Christmas,0.981,0.362,0.173,2.9E-05,0.105,-9.902,0.0377,0.184,216573,5,1,115.347,4
-1,0tJWc3RXOuli1FjEgzpCn7,Delancey,New Age,0.046,0.939,0.653,0.277,0.0336,-8.468,0.0903,0.799,192000,2,0,119.991997,4
-1,0tkBOcK7oRVXQJY97zzSvr,Telescope,Melophobia,0.273,0.588,0.481,1.3E-05,0.0986,-4.801,0.0285,0.176,228293,0,1,93.568001,4
-1,0u4htORODiTK9vHVA89MQX,Lovefool,First Band On The Moon,0.0646,0.64,0.602,0,0.375,-7.902,0.0299,0.951,193893,9,1,111.870003,4
-1,0Uq3HC4v2kgYDWzIEBWlES,Prologue,Celeste (Original Soundtrack),0.912,0.39,0.179,0.257,0.0721,-13.644,0.0409,0.236,67928,11,0,114.236,4
-1,0usMXSTHwKnNyKqzdB2WM4,Prom,Mit Peck,0.535,0.584,0.418,0.703,0.142,-13.226,0.0635,0.448,240423,6,1,78.75,4
-1,0vLwL4xuJ3s7SeaCdvMqkY,Call Me,Best Of Blondie,0.0336,0.551,0.628,0.000194,0.151,-13.799,0.036,0.777,212893,2,1,142.167007,4
-1,0vOAN45nUNSqRIWPTOSDsJ,It Gets Funkier,Mit Peck,0.219,0.505,0.947,0.882,0.117,-9.717,0.0629,0.615,291886,8,1,176.438995,4
-1,0w325PxNVbLb1Py60RZNaD,Peppermint,Peppermint,0.276,0.716,0.535,0,0.242,-5.13,0.0567,0.47,205736,10,1,127.819,4
-1,0wpjR48SjbwsHxd7CeaRse,Running Away,Game Winner - EP (Deluxe Edition),0.814,0.574,0.591,0.00116,0.108,-8.559,0.0762,0.445,271368,10,1,150.429001,4
-1,0wXcDxK6pQbQSxgAs2UfP9,Fortune (feat. Sam Lachow),Escape EP,0.462,0.791,0.498,2.8E-05,0.0817,-9.665,0.0508,0.572,193562,3,0,149.977997,4
-1,0wz1LjDb9ZNEYwOmDJ3Q4b,Surfin' U.S.A. - Remastered,Surfin' USA (Remastered),0.661,0.55,0.854,0,0.112,-5.968,0.036,0.965,149373,3,1,159.231003,4
-1,0X3AfZXCqnfZUX7NmXUoG7,American Eyes,American Eyes,0.45,0.343,0.561,0.0251,0.0916,-8.738,0.0394,0.198,293750,10,0,143.421005,4
-1,0xOk7aRJlO3dUry6E0ffQp,Papa Loves Mambo,Ocean's Eleven (Music from the Motion Picture),0.74,0.615,0.57,0,0.402,-8.363,0.0567,0.91,157693,0,1,82.204002,4
-1,0xxm1WskKZSCvbkGjkSMr2,Open Your Eyes,"Being No One, Going Nowhere",0.00549,0.67,0.756,0.599,0.152,-4.299,0.0322,0.402,232947,0,0,129.988007,4
-1,0Z0s6dw0zw2ENU1gVjlLV6,Subdivisions,Signals,0.0638,0.513,0.838,0.0591,0.0929,-9.229,0.0349,0.428,334733,11,0,133.287003,3
-1,0zbuvyQQFhJCKFWScdY1C5,I Remember,Random Album Title,0.024,0.818,0.515,0.25,0.123,-8.047,0.047,0.601,547493,11,0,128.001007,4
-1,0Zg4tjgfqw9qzq7lXX2sUM,Hazey,ZABA,0.00297,0.651,0.503,0.00797,0.112,-10.773,0.0381,0.398,265893,1,1,89.992996,4
-1,0zNdw7vzK7nVtMlNkjVRfb,"Sweet Victory (As Heard on ""SpongeBob SquarePants"")","Sweet Victory (As Heard on ""SpongeBob SquarePants"") - Single",0.0223,0.551,0.552,0.0315,0.119,-13.35,0.0334,0.379,231507,10,1,121.988998,4
-1,0ZR9NFol0hcgLSVJoQmREl,Sail,Megalithic Symphony,0.452,0.825,0.435,0.609,0.0953,-9.582,0.0568,0.243,259102,1,1,119.038002,4
-1,1175r6ZmkUjX8dRJLz9Ohk,I Love You So,Songs for Dads,0.65,0.578,0.669,0,0.13,-4.898,0.0377,0.503,160254,10,1,75.995003,4
-1,11bD1JtSjlIgKgZG2134DZ,Chasing Cars,Eyes Open,0.209,0.563,0.592,5.1E-05,0.132,-4.571,0.0276,0.136,267933,9,1,104.015999,4
-1,11x1BI4T2OBW0LMEUUyXNI,Quiet and Falling,Celeste (Original Soundtrack),0.966,0.237,0.0943,0.924,0.107,-23.572001,0.0374,0.0567,447393,0,0,115.313004,3
-1,12v5GBM74fB8WsHJPQRTIe,Nakamarra (feat. Q-Tip),Tawk Tomahawk,0.656,0.552,0.531,5.2E-05,0.11,-6.767,0.125,0.324,275320,8,1,91.572998,4
-1,15cM7YncULyG3RlRCtaGqq,Above Us,Hibou,4.7E-05,0.373,0.925,0.683,0.214,-5.601,0.0697,0.591,212587,10,0,175.084,4
-1,15rZ2QaGKjt9V6jG8o3gH7,Raining in L.A,"FrankJavCee, Vol 2.111",0.744,0.759,0.474,0.00167,0.362,-10.602,0.0423,0.723,168019,11,0,100.007004,4
-1,174QnAKrHfhJnNPN0zCwgF,Disco Connection,Ultimate Isaac Hayes: Can You Dig It?,0.161,0.63,0.708,0.7,0.644,-12.153,0.0371,0.928,219840,5,1,128.559006,4
-1,17BZMM3pPB0BEDvHVLhNjx,pinacolada,soar EP,0.0411,0.768,0.784,0.0213,0.177,-9.114,0.0527,0.923,219981,5,0,90.051003,4
-1,1bdKosCEIvjxjty0W8Ippl,Paia,Keep It Safe,0.405,0.66,0.467,0.133,0.311,-9.224,0.0275,0.432,217133,1,0,109.960999,4
-1,1BWsQm7kOBjK2aSFYg5HQZ,Shofukan,We Like It Here,0.0642,0.426,0.754,0.765,0.701,-9.125,0.074,0.228,393053,4,0,167.419998,4
-1,1cICxn6jPYtJiMESzQ0kNB,WITHOUT WARNING!,STORMWORKS Chapter 1: Without Warning,0.347,0.238,0.335,0.0211,0.19,-13.546,0.0353,0.16,112933,0,1,82.391998,4
-1,1CyAxM93XN2atUBykXFWPX,Game Winner,Thrill of the Arts,0.453,0.674,0.538,0.000215,0.616,-7.15,0.0304,0.684,212549,10,1,112.912003,4
-1,1cyRoWGazsa8Vr5qlDfvPP,Sodus,Barrow,0.662,0.275,0.554,0.902,0.111,-11.168,0.0341,0.0946,398851,9,1,123.459,4
-1,1DErVEgOzfRdvG5IJfCI5C,Love Like Mine - Bee's Knees Remix,Love Like Mine (Remixes),0.0847,0.725,0.741,1.3E-05,0.353,-5.901,0.0382,0.128,222146,4,0,108.980003,4
-1,1DrlLvlYd1FIjNavRm6NdX,Back Pocket,Thrill of the Arts,0.478,0.839,0.585,0.00281,0.0435,-7.738,0.153,0.89,181260,2,1,89.820999,4
-1,1E3K9QkIWCEL2awcl8kfwN,The Rubberband Man - Remastered Version,Essentials,0.477,0.789,0.709,5.9E-05,0.0434,-7.345,0.0471,0.952,214880,10,1,97.197998,4
-1,1EiCSXV80h1RytQYKHwLvE,Pizza Day,Summer Night,0.000255,0.53,0.913,0.842,0.0863,-4.081,0.0444,0.661,164835,1,1,146.300995,4
-1,1fEcoI6BQpEA0nPLLWFMKx,ABC - Stripped Mix,The Stripped Mixes,0.465,0.78,0.656,0,0.0734,-6.04,0.195,0.898,191160,8,1,93.353996,4
-1,1gfOkehOrC389YlyXc4j83,Suis-moi - French Version,The Little Prince (Original Motion Picture Soundtrack),0.687,0.646,0.196,0,0.347,-17.423,0.0555,0.568,206507,0,1,78.046997,4
-1,1GmtpbNbybW5ZDSqn6v3NO,Walkies,Thrill of the Arts,0.302,0.8,0.499,0.899,0.101,-12.82,0.0505,0.397,63451,0,1,122.953003,4
-1,1gVgkQFOKa8Wc1HYsJtPdH,More Than Words,Extreme II - Pornograffitti,0.468,0.615,0.129,0,0.114,-14.892,0.0286,0.249,334107,6,1,91.768997,4
-1,1HUZeY3cjfpl8YSM1t6Azh,On,Extended,0.402,0.732,0.751,0.185,0.104,-8.244,0.0424,0.905,457978,0,1,126,4
-1,1hVXZoSAkZ3P5Lp6fKOcgx,Take Five,Time Out,0.5,0.447,0.189,0.000742,0.0524,-17.987,0.0396,0.653,324680,10,0,173.591003,5
-1,1i5gQ9q9NA42pvRZscaZaG,Rocky Raccoon,Nu Funk,0.545,0.822,0.391,3E-06,0.18,-10.867,0.26,0.816,158000,7,1,115.264,4
-1,1iOHLlEsMbgJfYBFWy4TjG,Oh Yeah - Remastered 2005,Stella (Remastered 2005),0.00481,0.745,0.919,0.79,0.0452,-7.996,0.0616,0.743,185043,6,1,132.595993,4
-1,1ITJTMrS4cx8zdlI7DdSoo,Me & You ◑,Love Me / Love Me Not,0.645,0.769,0.546,0.000231,0.0948,-8.27,0.0387,0.603,243601,0,0,120.220001,4
-1,1JdqGFUqsCkQQA0i868079,Confess,Time,0.149,0.613,0.844,0.169,0.363,-8,0.0882,0.886,303543,11,0,164.807007,4
-1,1jhljxXlHw8K9rezXKrnow,Winter Things,Christmas & Chill,0.93,0.639,0.219,0,0.227,-10.204,0.0717,0.797,158720,0,1,74.738998,4
-1,1Jl74ao9nBADj4KtQmwCIF,Chemicals,Heavenly,0.0262,0.647,0.627,0.493,0.176,-9.17,0.0282,0.559,231107,7,0,144.959,3
-1,1jmX5Dojaopg8DT05Mw5Ig,We Will Rock You - Remastered,Queen 40 Limited Edition Collector's Box Set Vol. 2,0.679,0.693,0.497,0,0.258,-7.316,0.119,0.473,122067,2,1,81.307999,4
-1,1JQ6Xm1JrvHfvAqhl5pwaA,Easy,Commodores,0.147,0.598,0.353,3.9E-05,0.0592,-15.06,0.0343,0.342,256427,10,0,132.457001,4
-1,1JqcZQCnxjDOfZZwQidb1H,Broke,Broke,0.433,0.751,0.684,6E-06,0.18,-4.325,0.303,0.864,207722,1,1,89.984001,4
-1,1JxkQAXBMLhuplAo9wCONR,Don't Wake Me,Please Rewind,0.609,0.644,0.361,0.0336,0.0741,-12.13,0.155,0.698,284987,11,1,83.567001,4
-1,1jylZOai0G9TI6Font5Nd2,Nausea,Nausea,0.584,0.52,0.624,0.554,0.171,-9.384,0.025,0.332,269400,9,1,98.002998,4
