id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
1ITJTMrS4cx8zdlI7DdSoo,"Me & You ◑","Love Me / Love Me Not",0.645000,0.769000,0.546000,0.000231,0.094800,-8.270000,0.038700,0.603000,243601,0,0,120.220001,4
5nmXuJOBhAAcreDwD4dbZM,"Stutter","Good Future",0.872000,0.497000,0.169000,0.695000,0.137000,-10.468000,0.095400,0.210000,171053,1,1,86.599998,4
1JdqGFUqsCkQQA0i868079,"Confess","Time",0.149000,0.613000,0.844000,0.169000,0.363000,-8.000000,0.088200,0.886000,303543,11,0,164.807007,4
3VjmFr6ApusJwvCHAkbo7X,"Moment","Moment",0.459000,0.755000,0.779000,0.030600,0.125000,-6.546000,0.051900,0.562000,233333,9,1,108.026001,4
09b4z1eaxWhJ8D1iVWbX4A,"Floors (feat. King Sadboy)","Where Are My Friends?",0.513000,0.613000,0.857000,0.001050,0.268000,-7.003000,0.047600,0.320000,210341,2,1,131.962006,4
4gdQamULpFs7WeyFGfmTCZ,"Lose My Cool - Franc Moody Remix","Lose My Cool (Remixes)",0.053800,0.822000,0.515000,0.013400,0.370000,-5.315000,0.040400,0.748000,257302,1,1,103.001999,4
5J3rc7eMOi86jEPzjIuL6h,"Feel Good (feat. Russ Liquid)","Above Water",0.188000,0.602000,0.671000,0.007420,0.131000,-6.125000,0.189000,0.494000,226105,11,0,95.598000,4
5Wojaz9RidggGc4pJhLUbH,"Been so Long","Mike Edge",0.117000,0.641000,0.664000,0.501000,0.133000,-6.774000,0.025000,0.843000,168667,5,1,92.558998,4
362fW4jPHr6EK7RgpIKjAw,"Cyanide Truth","Faint of Heart",0.087700,0.729000,0.632000,0.000019,0.111000,-7.691000,0.036300,0.739000,219693,6,1,89.970001,4
59vHASOlLPZ6M3kFVoS6I5,"It Gets Funkier IV","Hill Climber",0.032600,0.684000,0.950000,0.877000,0.110000,-9.473000,0.124000,0.325000,196162,1,1,125.474998,4
7uX7ACWLrHgMYoKAsRJbsV,"The Cup Stacker","Hill Climber",0.013400,0.756000,0.829000,0.922000,0.105000,-11.126000,0.130000,0.916000,221425,10,0,91.699997,4
0mkfxNKr0w5aVBU237RAwf,"Disco Ulysses (Instrumental)","Hill Climber",0.042200,0.740000,0.707000,0.888000,0.090900,-10.464000,0.053900,0.969000,231085,8,0,133.714996,4
